Gene	HN_B73L2	HN_B73L4	HN_B73R3	HN_B73R4	HN_K55L1	HN_K55L4	HN_K55R3	HN_K55R4	HN_SDL1	HN_SDL2	HN_SDR1	HN_SDR2	HN_W153RL1	HN_W153RL3	HN_W153RR1	HN_W153RR3	LN_B73L1	LN_B73L4	LN_B73R3	LN_B73R4	LN_K55L3	LN_K55L4	LN_K55R1	LN_K55R4	LN_SDL3	LN_SDL4	LN_SDR2	LN_SDR4	LN_W153L2	LN_W153RL1	LN_W153RR3	LN_W153RR4
Zm00001d027606	1.49521658374019	1.89244626897759	1.34131760707486	1.74117534681318	0	0	0	0	0	0	0	0	0	0	0	0	3.63056368237399	3.93972000885529	1.05947273185495	1.53402565819939	0	0	0	0	0	0	0	0.0701983509983493	0	0	0.0948116172513059	0
Zm00001d022667	5.74675813842088	7.07668287906407	4.56563877792789	4.70117343639559	0	0	0	0	0	0	0	0	0	0	0	0	18.138179042183	15.0031701064498	4.65975370610386	3.23921628457681	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d027794	1.31949035740538	1.89598554221693	5.2630924102788	4.03273397011608	0	0	0.0514134344564789	0.157559701478251	0	0	0	0	0	0	0.113082830339481	0	2.4115222094022	2.73762351539381	3.18520896192648	5.94464590830956	0.101343169030563	0	0.0491868570524025	0.146360976938338	0	0.252344955798089	0	0.0438017912809911	0.0460568380126852	0.0542944437898224	0.0887396629150002	0
ENSRNA049471996	7.14564005369438	2.97220680920691	23.2162731857633	36.4340941320658	0	0	0	0	6.22852688509266	9.34071942394784	28.3697422199134	21.3783820751705	1.31893955752216	0	28.1482954210278	32.5827201212241	9.56141152366503	4.99225202485742	21.224609868656	19.9354708102264	0.431215184225045	0	0.837160307031891	0.207588652290876	7.48979680401559	7.78452645517629	15.5369810840133	30.1930127479	4.50735245211144	5.31352574149097	29.0742194591561	22.749905014805
Zm00001d028119	0.85613947908184	1.03713368916311	0.709371975413589	0.923830225333936	0	0.00713017952018542	0	0	0	0	0	0.00740800182794342	0	0	0	0	0.565345840275833	0.663625263700492	0.751421682096973	0.692880488679532	0	0	0.00768742247044895	0	0	0	0	0	0	0	0	0
Zm00001d028165	0.113498523677601	1.07637337987099	0.740126899957623	0.407706835711426	0.109895784622618	0	0.379444179714494	0.0298161676579924	0.0573120184499336	0	0.175238691349254	0.32290783151289	0	0	0.0641984580512998	0	0	3.01320843966743	0.375303549442947	0.11440154833101	5.09173366296417	0.347669020120982	0.0837718786222706	0.0553939032130422	0.587826928070917	1.39677730786904	0	0	0	0	0	0
Zm00001d028184	2.90090719757178	4.27209888090965	7.38497332282345	5.81327898048917	0	0	0	0	0	0	0	0	3.241633321099	0.215316501248343	6.83686459082035	8.26004312741978	5.33756815790375	6.17138901470927	5.49931593954035	6.15749639349279	0	0	0	0	0	0	0	0	4.9369251462384	6.56516571278854	9.22217745727017	8.48309681489192
Zm00001d028287	4.09760043320503	5.56167471340529	8.5653955664788	14.5670162817892	0.154679606712962	0	1.63302826358491	2.86422085497118	1.60326335556052	1.59095122844837	6.8445517875378	7.44238121670831	0.159228115596236	0.169220574220529	2.40583721547246	2.02177816176216	5.649477094024	10.3126332907853	12.9299761460165	12.438912575819	1.09322159380997	0.649327454318045	1.88655843838173	1.40341624083972	4.87116030749978	5.51986820036784	11.1576650803295	21.7614393740298	0.441626694634311	0.618230184251858	3.03133438663233	2.7394789395314
Zm00001d028357	1.53422223375081	0.683737476238075	0	0	0.0884239297634486	0	0	0	0.760883955089336	0.209880225231948	0	0	1.75979973168358	0.580418394669448	0	0	0.375531657188053	1.14843616858924	0	0	0.902704894512976	0.193666243463899	0	0.0668562487249197	1.20608644187047	1.72903025269061	0	0	2.3983671942902	1.63687693499687	0	0
Zm00001d022713	0.153735801499449	0.767351155561165	0.309418290672824	0.283203219059975	0	0	0	0	0.517534431665364	0.78515433656048	0.158242649597911	0.850469848409829	0	0	0	0	0.913152731469625	0.572834426260174	0.308094206251357	0.32283117648378	0	0	0	0	0.928925897025321	0.32341198401231	0.231101905161583	0.785925514038748	0	0	0.398058864446277	0
Zm00001d028467	0.998691831403827	0.623104152873566	8.52826866065775	14.7835642653949	0	0	0	0.187398051653378	0.0900531610654617	0	0.881116304679351	0.507378238404426	0.0790020699324443	0	0	0	10.0713339156056	9.76820801509488	17.4767568820738	22.6493480497602	0	0	0	0	1.29309600759919	2.47610181470221	2.8148890335195	1.87548801912571	0	0.096864930115595	0	0
