	HN_B73L2	HN_B73L4	HN_SDL1	HN_SDL2	LN_B73L1	LN_B73L4	LN_SDL3	LN_SDL4
Zm00001d006679	261	294	253	174	808	1024	524	456
Zm00001d006680	90	58	28	16	161	198	80	101
Zm00001d006681	306	301	240	213	373	529	579	377
Zm00001d006682	643	496	448	514	503	582	827	618
Zm00001d006683	1341	1171	235	220	1998	1411	316	277
Zm00001d006684	1377	1113	388	258	1262	899	304	288
Zm00001d006685	78	64	28	20	80	128	64	54
Zm00001d006688	1467	1407	2391	1422	2758	2640	1261	1146
Zm00001d006690	2	1	12	5	0	2	22	15
Zm00001d006693	4	2	7	5	4	2	12	11
Zm00001d006697	223	152	318	235	549	572	473	460
Zm00001d006699	10	13	55	43	6	13	12	9
Zm00001d006700	309	229	279	308	341	279	330	193
Zm00001d006701	557	674	203	192	901	813	751	693
Zm00001d006702	567	478	416	407	528	518	733	547
Zm00001d006704	610	500	558	632	444	211	417	391
Zm00001d006705	1030	837	9	34	479	245	50	28
Zm00001d006708	628	586	424	444	577	633	466	497
Zm00001d006710	633	480	457	557	569	679	588	414
Zm00001d006711	692	661	868	534	1872	1185	1364	1881
Zm00001d006712	0	1	1	1	0	0	2	0
Zm00001d006714	528	444	553	527	532	570	497	460
Zm00001d006715	8	5	19	3	23	95	1	0
Zm00001d006717	191	137	466	459	273	315	818	590
Zm00001d006718	1	1	0	6	0	8	9	2
Zm00001d006720	29	7	1	1	18	10	4	6
Zm00001d001016	3	2	0	3	3	4	17	10
Zm00001d006721	0	0	2	0	0	7	3	1
Zm00001d006722	68	50	87	71	86	129	98	94
Zm00001d006725	2793	1988	2533	2170	3150	2768	2851	2313
Zm00001d006726	89	50	77	104	70	120	62	59
Zm00001d006727	12	15	0	3	8	15	0	0
Zm00001d006731	176	94	81	85	273	383	350	221
Zm00001d006732	0	0	2	0	1	0	9	6
Zm00001d006737	674	616	409	496	824	849	895	624
Zm00001d006738	375	385	765	536	492	412	788	611
Zm00001d006741	0	0	2	3	0	0	9	3
Zm00001d006746	3	3	3	3	12	14	5	16
Zm00001d006749	339	318	958	521	187	82	326	620
Zm00001d006750	0	0	0	0	1	3	3	2
Zm00001d006751	604	516	437	480	865	1327	1052	755
Zm00001d006752	82	48	198	162	86	123	304	231
Zm00001d006753	18	34	7	10	4	13	80	61
Zm00001d006755	0	0	1	2	13	61	4	13
Zm00001d006756	1118	687	299	327	935	623	189	191
Zm00001d006757	3	6	4	6	13	20	21	21
Zm00001d006758	874	760	312	383	748	976	700	461
Zm00001d006759	484	560	406	221	1032	1951	899	952
Zm00001d006760	7925	7130	8239	6547	7448	7210	7127	6696
Zm00001d006761	434	346	447	345	136	108	136	112
Zm00001d006762	471	412	393	401	814	730	895	627
Zm00001d006763	307	211	401	396	406	457	721	592
Zm00001d006767	0	0	4	4	0	0	13	2
Zm00001d006768	7	7	6	15	13	6	20	12
Zm00001d006769	144	107	150	120	260	247	333	282
Zm00001d006771	696	484	277	292	700	877	587	396
Zm00001d006774	0	2	0	2	6	0	9	18
Zm00001d006775	2	5	0	1	0	3	0	0
Zm00001d006776	3	1	3	0	9	14	0	0
Zm00001d006778	61	52	50	80	72	31	89	60
Zm00001d006779	123	50	105	101	58	37	82	112
Zm00001d006780	1120	998	1190	1206	1955	2220	2005	1699
Zm00001d006787	9	14	1	1	11	20	11	8
Zm00001d006788	5	5	1	3	13	4	8	13
Zm00001d006789	1062	942	697	680	959	1159	1384	1026
Zm00001d006790	3893	3404	3851	3569	2982	2684	4395	3273
Zm00001d006793	92	111	35	29	55	133	70	42
Zm00001d006794	36	19	49	32	58	100	75	73
Zm00001d006795	15	37	27	41	33	440	172	207
Zm00001d006797	51	62	38	41	83	154	237	152
Zm00001d006798	423	406	232	269	757	848	660	516
Zm00001d001019	11	8	0	0	15	33	0	0
Zm00001d006806	10	24	33	32	16	18	16	17
Zm00001d006808	240	197	208	177	378	400	273	218
Zm00001d006810	9	6	29	11	4	9	8	27
Zm00001d006813	13	5	21	9	19	15	8	6
Zm00001d006815	7	1	43	50	31	21	54	22
Zm00001d006816	0	0	1	16	0	0	7	6
Zm00001d006820	17	6	0	0	5	2	0	0
Zm00001d006821	170	157	233	232	286	338	427	386
Zm00001d006822	79	32	134	88	55	59	200	197
Zm00001d006823	5069	4954	1259	1737	3294	2313	1366	825
Zm00001d006825	36	25	3	5	32	80	14	32
Zm00001d006828	34	24	2	0	23	12	15	19
Zm00001d006833	3782	3264	5748	5186	2520	2006	3180	3037
Zm00001d006834	2806	2178	1839	2178	1810	1625	1441	1191
Zm00001d006835	86	89	86	179	99	108	162	100
Zm00001d006836	503	424	604	594	609	609	984	819
Zm00001d006837	105	95	115	152	183	187	405	236
Zm00001d006838	48	14	31	37	41	66	52	47
Zm00001d006839	184	152	106	158	249	233	271	217
Zm00001d006841	75	150	0	0	113	141	0	0
Zm00001d006843	0	0	12	3	0	0	21	21
Zm00001d006844	480	383	506	495	452	572	889	764
Zm00001d006845	3	1	25	28	17	17	88	68
Zm00001d006848	0	1	6	3	8	10	7	7
Zm00001d006853	1122	945	612	766	948	1364	1092	777
Zm00001d006854	0	3	2	0	1	5	0	1
Zm00001d006855	74	32	63	58	46	60	130	113
Zm00001d006856	193	205	41	30	183	253	92	76
Zm00001d006857	15	9	0	0	10	9	0	0
Zm00001d006860	1909	1891	864	522	1743	1869	1543	1572
Zm00001d006861	698	718	162	248	759	971	437	284
Zm00001d006864	149	76	30	45	120	133	94	104
Zm00001d006866	3837	3276	2143	1832	4062	3232	2871	2347
Zm00001d006868	962	799	555	604	1388	1582	1117	907
Zm00001d006871	251	211	376	203	343	353	331	354
Zm00001d006872	441	343	290	320	378	545	652	407
Zm00001d006874	55	45	42	78	58	46	28	34
Zm00001d006875	682	264	831	1116	1442	491	506	576
Zm00001d006876	1	1	2	3	2	0	4	4
Zm00001d006878	9	6	21	4	8	1	9	17
Zm00001d006879	110	76	190	150	58	31	83	82
Zm00001d001022	45	54	39	38	35	87	109	62
Zm00001d006880	83	48	64	61	62	99	147	71
Zm00001d006881	111	127	221	204	96	134	692	433
Zm00001d006882	656	553	523	475	527	460	504	343
Zm00001d006883	67	67	27	16	147	325	30	60
Zm00001d006884	356	247	206	202	349	390	251	198
Zm00001d006885	250	144	56	152	345	312	159	143
Zm00001d006886	1742	1464	1612	1401	1372	1216	1701	1335
Zm00001d006887	3	11	6	5	10	19	17	14
Zm00001d006889	788	593	1053	1202	859	989	1487	1049
Zm00001d006894	41	30	50	48	40	44	77	55
Zm00001d006896	298	204	223	239	803	983	656	439
Zm00001d006898	23	9	3	2	10	14	0	0
Zm00001d006899	1148	661	867	600	1101	1309	1189	1088
Zm00001d006900	526	448	516	291	2022	1780	489	707
Zm00001d006902	5	3	9	17	1	4	41	16
Zm00001d006903	396	344	237	149	569	572	398	397
Zm00001d001023	13	29	11	8	17	22	23	21
Zm00001d006904	70	90	140	104	178	132	232	240
Zm00001d006905	0	4	50	43	5	3	39	22
Zm00001d006906	692	673	609	649	741	731	1030	837
Zm00001d006907	483	460	509	470	850	833	846	717
Zm00001d006910	124	55	158	175	127	84	184	170
Zm00001d006911	19	17	45	29	0	0	1	2
Zm00001d006914	4	7	6	0	6	0	0	0
Zm00001d006915	0	3	38	18	1	2	57	52
Zm00001d006916	350	328	269	253	459	668	672	440
Zm00001d006917	142	132	119	101	190	232	121	143
Zm00001d006918	567	470	309	337	564	579	475	369
Zm00001d006920	52	18	65	65	71	169	147	118
Zm00001d006921	4	12	4	11	0	9	6	9
Zm00001d006922	221	173	221	217	417	510	555	391
Zm00001d006926	3	2	1	1	5	3	8	5
Zm00001d006928	31	40	14	4	77	99	52	46
Zm00001d006929	175	137	584	484	304	287	784	583
Zm00001d006930	398	294	271	206	471	371	303	220
Zm00001d006931	105	68	107	85	107	95	115	110
Zm00001d006938	5	5	1	0	8	6	0	1
Zm00001d006939	37	23	22	52	21	45	27	23
Zm00001d006941	6	8	11	14	15	15	33	21
Zm00001d006942	461	392	318	302	504	551	475	413
Zm00001d006943	30	19	24	8	54	27	68	67
Zm00001d006944	378	279	240	261	224	302	242	233
Zm00001d006945	45	44	48	36	67	159	58	56
Zm00001d006947	23	59	3	4	143	181	15	68
Zm00001d006948	108	305	2	2	124	111	5	19
Zm00001d006951	145	173	96	151	324	429	204	184
Zm00001d007009	255	164	141	184	324	311	362	285
Zm00001d007010	9	2	15	6	4	5	15	3
Zm00001d007012	3329	2220	2749	1788	3016	1742	1710	1748
Zm00001d007015	2	10	8	0	38	94	13	31
Zm00001d007016	42	27	31	21	19	53	111	66
Zm00001d007017	0	0	16	27	0	0	57	20
Zm00001d007018	432	300	44	34	268	469	38	33
Zm00001d007022	0	1	6	21	3	5	12	6
Zm00001d007025	5	9	23	51	10	13	36	41
Zm00001d007026	90	77	26	20	147	184	110	95
Zm00001d007027	27	41	21	17	27	7	81	56
Zm00001d007029	525	327	493	510	821	786	1174	937
Zm00001d007031	17	31	7	1	62	88	18	26
Zm00001d007032	300	249	176	187	411	419	228	227
Zm00001d007033	0	2	3	0	1	3	7	0
Zm00001d007034	3430	3055	1784	1742	2742	2751	2708	2189
Zm00001d007035	62	37	12	15	24	49	22	22
Zm00001d007037	3009	3126	1636	1455	1492	1238	1315	911
Zm00001d007038	714	632	546	522	679	635	753	702
Zm00001d007039	120	133	222	231	189	199	429	331
Zm00001d007042	875	700	302	235	1041	1557	752	717
Zm00001d007043	726	514	521	515	655	734	718	575
Zm00001d007044	256	185	152	141	282	378	278	201
Zm00001d007045	98	70	189	187	256	105	166	237
Zm00001d007046	17	10	20	26	13	12	71	33
Zm00001d007048	809	627	685	662	823	705	765	712
Zm00001d007050	37	53	27	29	87	118	91	88
Zm00001d007053	68	66	71	77	120	156	118	108
Zm00001d007056	0	0	11	12	0	0	12	16
Zm00001d007057	0	0	1	1	0	0	2	1
Zm00001d007058	272	263	175	173	497	507	310	233
Zm00001d007059	1055	839	728	752	1211	996	846	826
Zm00001d007060	793	743	669	718	784	850	986	694
Zm00001d007062	198	145	152	168	314	262	270	291
Zm00001d007064	8	10	3	8	13	16	16	8
Zm00001d007065	1541	1399	1865	2035	1697	2132	3835	2892
Zm00001d007067	249	154	111	123	296	366	325	252
Zm00001d007068	1419	1240	1095	1226	1557	1788	1946	1514
Zm00001d007069	191	173	215	203	289	294	343	297
Zm00001d007070	422	277	241	220	513	645	316	288
Zm00001d007071	1	2	3	7	8	18	34	22
Zm00001d007072	7054	5290	3460	3041	8271	7666	6626	4642
Zm00001d007073	3065	2581	5803	6206	3201	3565	12488	7828
Zm00001d007075	1096	1060	824	782	1069	1385	1594	1124
Zm00001d007076	643	470	633	746	690	701	789	759
Zm00001d007077	473	351	446	307	609	491	514	432
Zm00001d007079	824	654	345	464	374	420	373	254
Zm00001d007080	365	287	306	222	410	385	263	231
Zm00001d007081	299	282	428	420	360	318	893	522
Zm00001d007082	226	140	111	204	371	67	33	60
Zm00001d007083	68	82	39	56	66	68	142	172
Zm00001d007084	1120	1047	925	967	1203	1212	1292	974
Zm00001d007085	43	56	178	179	113	96	237	157
Zm00001d007089	1611	1525	1316	1462	1247	1381	2180	1593
Zm00001d007090	335	295	363	406	467	543	816	552
Zm00001d007091	33	29	30	71	98	75	124	81
Zm00001d007092	12315	9092	11283	9873	4392	3501	6284	5357
Zm00001d007093	10	6	10	22	13	14	22	12
Zm00001d007095	125	88	85	101	116	155	214	123
Zm00001d007096	1210	1215	2812	4319	1320	1500	3578	2323
Zm00001d007097	3782	3411	4112	3724	4130	3936	5719	4188
Zm00001d007100	0	0	1	6	0	1	25	16
Zm00001d007102	327	250	111	109	385	514	315	252
ENSRNA049468238	730	32	32	39	3	145	15	8
Zm00001d007103	110	79	111	113	149	202	157	177
Zm00001d007105	217	208	2	0	185	192	2	6
Zm00001d007106	11	13	9	17	25	17	41	23
Zm00001d007107	4	20	48	22	42	39	78	88
Zm00001d007108	0	2	0	0	1	4	5	2
Zm00001d007111	89	60	89	58	129	205	161	151
Zm00001d007112	0	0	4	1	0	0	2	5
Zm00001d007113	1261	1010	1162	1164	1579	2872	2909	2231
Zm00001d007116	22	5	2	5	7	5	7	6
Zm00001d007117	2541	1994	1690	1679	1275	1274	1153	916
Zm00001d007118	1367	1079	1223	1066	1708	1396	1031	1081
Zm00001d007121	1142	1105	1513	1339	1543	1910	2564	1714
Zm00001d007123	34	39	119	108	11	24	201	125
Zm00001d007124	1383	1250	196	288	725	841	501	267
Zm00001d007125	14	10	27	14	32	19	58	35
Zm00001d007129	6	2	16	1	10	19	9	12
Zm00001d007130	17	6	10	6	14	2	23	28
Zm00001d007131	0	0	5	3	0	0	16	36
Zm00001d007133	250	155	229	220	401	468	418	377
Zm00001d007139	1427	1189	955	1138	1385	1715	1516	1156
Zm00001d007141	23	7	21	25	18	22	42	46
Zm00001d007144	99	83	83	97	169	198	200	147
Zm00001d007145	251	208	303	181	298	303	314	291
Zm00001d007146	206	142	155	210	343	356	345	291
Zm00001d007147	1	0	49	37	5	6	109	75
Zm00001d007151	27	20	44	27	47	85	84	31
Zm00001d007152	41	37	20	37	51	62	83	67
Zm00001d007153	39	62	40	28	115	709	186	162
Zm00001d007154	337	226	336	228	283	267	223	239
Zm00001d007155	4	5	4	3	7	15	28	10
Zm00001d007156	0	0	9	3	0	0	10	8
Zm00001d007157	195	174	206	211	322	161	337	274
Zm00001d007158	1286	1033	662	837	1200	1596	2053	1525
Zm00001d007161	3	2	1	0	21	2	0	0
Zm00001d007162	65	84	64	103	114	149	30	42
Zm00001d007163	0	1	21	19	0	0	37	30
Zm00001d007164	3	1	8	3	6	6	11	19
Zm00001d007166	24	7	54	78	10	38	18	19
Zm00001d007167	78	101	61	47	35	62	69	75
Zm00001d007168	1	0	0	1	2	0	0	2
Zm00001d007172	0	0	0	3	10	25	11	14
Zm00001d007173	134	80	167	209	218	113	264	209
Zm00001d007174	43	34	39	34	103	128	36	37
Zm00001d007175	201	246	32	43	270	199	172	271
Zm00001d007179	356	227	300	279	323	313	253	248
Zm00001d007180	33	34	16	16	16	84	52	52
Zm00001d007181	39	16	11	16	22	14	32	35
Zm00001d007183	6417	5761	514	476	1203	1153	971	646
Zm00001d007184	80	66	100	74	160	40	50	80
Zm00001d007185	97	81	412	397	221	141	444	384
Zm00001d007186	241	212	166	147	441	681	321	374
Zm00001d007187	27	42	25	6	65	239	9	112
Zm00001d007188	17	33	62	27	235	225	111	121
Zm00001d007189	17	12	24	29	54	52	27	25
Zm00001d007191	7	21	22	17	7	20	29	44
Zm00001d007192	215	170	198	156	417	511	549	496
Zm00001d007193	276	259	485	454	281	265	573	528
Zm00001d007194	135	102	128	121	227	170	129	102
Zm00001d007195	106	55	11	11	55	136	10	12
Zm00001d007197	328	308	194	231	266	268	370	323
Zm00001d007199	7	2	1	6	9	12	2	1
Zm00001d007200	69	34	42	31	111	92	81	73
Zm00001d007201	25	18	60	41	17	45	34	24
Zm00001d007202	81	37	120	40	120	104	174	149
Zm00001d007205	51	46	33	39	43	39	65	47
Zm00001d007207	507	364	268	406	770	782	554	452
Zm00001d007208	313	345	346	316	552	935	702	639
Zm00001d007210	0	0	53	58	0	0	95	78
Zm00001d007213	565	468	445	339	969	998	1063	792
Zm00001d007214	457	344	379	301	457	463	544	389
Zm00001d007215	2124	1615	1996	1914	3034	3211	3442	2771
Zm00001d007216	49	39	17	24	68	76	80	73
Zm00001d007223	3	4	4	8	2	1	7	11
Zm00001d007225	279	277	179	236	322	402	463	321
Zm00001d007226	26	7	28	30	47	47	83	91
Zm00001d007227	79	62	45	58	105	120	103	41
Zm00001d007228	673	418	719	817	208	65	380	315
Zm00001d007229	1678	1301	836	971	2054	2362	1970	1586
Zm00001d007231	11	13	90	104	25	2	23	33
Zm00001d007232	176	128	219	185	219	237	325	242
Zm00001d007233	5	3	0	0	14	8	11	5
Zm00001d007234	5106	5094	5681	5291	7502	6953	7366	6496
Zm00001d007235	1	0	0	2	0	0	1	2
Zm00001d007240	315	322	283	449	425	638	802	469
Zm00001d007241	481	371	264	226	752	924	605	570
Zm00001d007251	24	30	3	2	36	60	22	15
Zm00001d007254	98	55	131	130	100	63	123	126
Zm00001d007255	28	28	74	190	23	29	92	63
Zm00001d007256	0	2	3	4	2	8	7	0
Zm00001d007258	321	353	372	418	324	290	564	415
Zm00001d001027	3	2	0	0	2	3	0	0
Zm00001d007259	151	119	93	119	181	176	224	197
Zm00001d007261	173	158	77	109	184	269	253	228
Zm00001d007264	14	12	10	10	34	36	43	31
Zm00001d007267	70629	50452	59460	66581	26165	19940	30197	24174
Zm00001d007269	6	3	8	14	7	2	5	10
Zm00001d001028	20	30	0	0	11	12	0	0
Zm00001d007270	310	267	222	215	467	436	311	281
Zm00001d007272	111	78	23	19	10	17	8	10
Zm00001d007274	4638	3655	4622	5620	1553	1526	2688	1827
Zm00001d007277	367	202	178	247	429	532	266	177
Zm00001d007279	409	274	278	312	337	308	357	296
Zm00001d007280	123	92	154	172	305	223	120	108
Zm00001d007281	0	0	7	12	1	1	2	7
Zm00001d007284	0	3	10	4	2	8	17	5
Zm00001d007285	22	35	0	0	70	63	1	144
Zm00001d007286	1	0	13	14	0	0	9	15
Zm00001d007287	9	9	27	26	26	24	45	35
Zm00001d007288	1463	1076	1247	1123	1557	1500	1680	1391
Zm00001d007290	23	15	33	50	18	5	11	23
Zm00001d007294	82	78	85	75	122	132	129	114
Zm00001d007295	606	450	454	530	639	669	1227	757
Zm00001d007296	273	303	112	154	269	297	256	170
Zm00001d007300	66	55	35	61	85	91	78	74
Zm00001d007301	55	38	10	22	78	156	114	122
Zm00001d007302	137	103	144	186	244	267	249	219
Zm00001d007307	475	343	169	189	808	922	464	370
Zm00001d007310	2	1	4	15	2	2	3	0
Zm00001d007311	153	138	103	75	213	149	59	77
Zm00001d007312	80	88	21	3	69	89	1	0
Zm00001d007313	437	399	419	197	75	13	28	71
Zm00001d007316	79	80	74	112	130	139	128	120
Zm00001d007318	695	504	434	530	568	670	678	610
Zm00001d007319	2942	2292	1701	2356	1251	1353	1306	898
Zm00001d007320	1067	864	976	873	1310	969	1027	851
Zm00001d007324	131	96	130	117	70	48	74	65
Zm00001d001032	1	0	1	0	5	2	0	0
Zm00001d007327	118	49	68	55	87	54	44	48
Zm00001d007328	386	329	928	756	488	582	1098	926
Zm00001d007329	16	21	39	26	29	110	105	99
Zm00001d007331	13	11	188	252	34	21	359	196
Zm00001d007339	245	146	117	134	287	274	186	175
Zm00001d007340	2	3	30	9	8	5	41	31
Zm00001d007341	55	71	148	81	141	164	676	562
Zm00001d007345	1583	1294	547	596	1038	736	457	460
Zm00001d007349	522	527	24	21	129	738	58	21
Zm00001d007351	0	3	3	2	2	6	5	4
Zm00001d007352	77	47	72	104	60	65	127	122
Zm00001d007354	272	252	150	138	318	488	238	220
Zm00001d007357	1062	816	537	668	1345	1652	1587	1002
Zm00001d007360	62	55	84	73	245	142	114	86
Zm00001d007363	0	0	0	0	2	4	3	11
Zm00001d007365	0	0	11	6	0	1	19	11
Zm00001d007366	14085	10038	4166	4064	8233	5892	3729	3140
Zm00001d007369	331	327	271	204	422	561	457	403
Zm00001d007370	68	61	3	8	75	74	8	6
Zm00001d007372	22	7	17	16	4	13	0	3
Zm00001d001035	5	4	0	0	3	5	0	0
Zm00001d001036	15	2	82	94	7	3	52	48
Zm00001d001037	11	1	1	3	1	8	13	7
Zm00001d007375	14	4	47	53	14	4	37	33
Zm00001d007378	1422	1095	109	83	881	1597	142	132
Zm00001d007379	125	177	59	41	358	745	197	134
Zm00001d007381	4	14	27	17	36	101	71	77
Zm00001d007382	20	2	4	1	0	1	7	2
Zm00001d007383	1928	1582	1369	1777	967	1079	475	337
Zm00001d007386	0	0	0	0	2	1	1	3
Zm00001d007387	45	47	38	57	41	63	71	76
Zm00001d007388	539	439	352	408	490	562	567	508
Zm00001d007389	1	0	2	2	0	2	9	3
Zm00001d007390	69	56	249	101	66	108	382	359
Zm00001d007391	38	27	7	14	46	94	3	18
Zm00001d007394	8305	6512	6576	5991	7699	6067	6980	6679
Zm00001d007395	0	6	0	4	3	3	6	6
Zm00001d007396	7	4	4	1	19	13	20	15
Zm00001d001041	1	0	1	0	0	1	3	0
Zm00001d007397	246	183	189	205	236	231	312	179
Zm00001d007399	2	0	210	193	6	5	281	186
Zm00001d007401	46	69	6	3	55	104	27	12
Zm00001d007403	669	548	1280	300	1273	1231	1185	1253
Zm00001d007405	0	0	361	326	1	0	623	465
Zm00001d007407	1023	921	680	785	889	1116	1461	1002
Zm00001d007417	503	556	282	175	362	461	547	397
Zm00001d007418	38	16	19	30	28	44	23	22
Zm00001d001043	2	8	1	0	2	10	11	3
Zm00001d001044	9	12	2	0	2	3	3	0
Zm00001d007420	7	17	6	12	29	102	18	87
Zm00001d007422	611	440	300	301	899	1235	954	869
Zm00001d007424	2121	2500	1620	2020	1597	1874	2769	1874
Zm00001d007426	0	2	0	0	0	1	8	17
Zm00001d007427	0	0	1	6	5	0	7	3
Zm00001d007430	4	6	0	0	4	14	6	8
Zm00001d007434	1195	1255	647	702	1148	1566	1643	1043
Zm00001d007435	246	214	233	228	328	390	648	489
Zm00001d007436	163	147	253	235	318	413	471	468
Zm00001d007437	7	3	44	58	15	4	125	76
Zm00001d007441	755	643	831	688	1035	957	1014	904
Zm00001d007442	650	546	824	605	940	827	1067	803
Zm00001d007445	538	500	69	58	549	488	74	66
Zm00001d007446	3051	2755	1533	1466	3472	3773	2239	1727
Zm00001d007450	132	80	13	14	152	161	40	24
Zm00001d007452	9	5	25	38	2	13	14	9
Zm00001d007453	0	2	0	0	2	0	2	1
Zm00001d007454	741	512	261	327	584	516	280	246
Zm00001d007455	175	167	361	345	320	355	487	406
Zm00001d007456	7	11	2	0	18	12	3	0
Zm00001d007457	142	112	1	0	115	141	10	0
Zm00001d007458	16	8	8	19	13	19	9	14
Zm00001d007462	1	3	2	2	5	4	2	10
Zm00001d007465	41	37	24	34	88	69	47	33
Zm00001d007468	4	1	1	3	3	2	2	6
Zm00001d007470	197	204	21	12	106	149	1	0
Zm00001d007471	6	0	5	5	4	1	4	1
Zm00001d007473	7	7	0	0	21	22	0	4
Zm00001d007474	110	59	13	15	354	464	76	47
Zm00001d007475	2	0	10	7	1	1	3	5
Zm00001d007477	40	39	191	90	49	81	87	129
Zm00001d007478	1	0	58	46	9	5	47	43
Zm00001d007479	113	81	65	75	168	111	92	49
Zm00001d007483	0	0	48	63	0	0	62	36
Zm00001d007485	41	52	0	0	124	359	0	0
Zm00001d007486	18	8	32	7	40	15	9	75
Zm00001d007487	0	0	13	13	0	0	24	25
Zm00001d007489	1	7	10	7	1	0	4	9
Zm00001d007490	43	33	40	26	84	89	99	71
Zm00001d007491	26	15	8	14	59	69	29	17
Zm00001d007495	10	5	3	4	26	38	23	15
Zm00001d007496	252	185	297	263	467	323	337	364
Zm00001d007498	44	36	0	0	44	43	0	0
Zm00001d007500	823	517	719	749	631	631	1183	909
Zm00001d007501	93	110	50	48	164	217	121	101
Zm00001d007502	182	185	501	386	166	160	824	673
Zm00001d007503	150	103	110	97	237	225	232	184
Zm00001d007507	354	411	235	229	273	319	349	296
Zm00001d007508	369	278	239	232	543	588	577	418
Zm00001d007509	6	0	13	22	1	0	24	12
Zm00001d007513	16	2	0	0	21	11	0	0
Zm00001d007514	12	15	47	18	30	46	84	100
Zm00001d007517	2362	1620	435	494	2918	2911	858	743
Zm00001d007518	24	15	59	108	18	9	132	82
Zm00001d007520	4	15	20	9	11	16	19	19
Zm00001d007522	1147	1031	1478	1386	1168	1163	2153	1744
Zm00001d007529	196	180	131	163	227	180	243	219
Zm00001d007530	70	84	60	51	104	87	131	120
Zm00001d007531	48	40	73	83	65	47	79	69
Zm00001d007532	2	4	1	4	3	2	6	8
Zm00001d007533	13	5	9	6	5	15	13	4
Zm00001d007534	66	58	84	94	68	104	167	92
Zm00001d007540	9	2	14	17	28	32	48	22
Zm00001d007541	2	1	4	2	7	17	18	13
Zm00001d007542	4	4	8	22	1	7	28	13
Zm00001d007543	1	3	7	13	2	6	11	23
Zm00001d007546	4	0	0	2	1	6	2	1
Zm00001d007548	110	91	124	104	97	92	165	132
Zm00001d007549	29	14	22	35	56	73	104	82
Zm00001d007550	0	8	1	2	13	9	18	9
Zm00001d007553	1	4	0	0	1	6	0	2
Zm00001d007554	2	0	0	1	3	1	2	8
Zm00001d007555	13	4	0	8	7	10	5	8
Zm00001d007559	52	93	18	33	79	96	37	29
Zm00001d007560	25	21	2	5	93	189	4	1
Zm00001d007561	2	2	0	2	3	6	1	0
Zm00001d007564	41	38	70	57	43	66	51	53
Zm00001d007569	6	9	159	157	17	20	245	172
Zm00001d007570	2	1	0	0	0	6	1	2
Zm00001d007571	181	204	205	301	143	149	509	360
Zm00001d007572	57	22	68	54	56	30	140	192
Zm00001d007573	1045	588	1197	1022	578	316	451	425
Zm00001d007575	18	49	12	31	69	76	97	51
Zm00001d007576	6	7	0	0	8	2	0	0
Zm00001d007577	451	360	384	351	661	734	925	806
Zm00001d007578	14	2	12	11	11	23	53	25
Zm00001d007581	7286	6781	8097	5664	6832	6105	7551	6632
Zm00001d007585	585	442	621	677	576	577	1219	857
Zm00001d007592	0	0	0	17	0	3	16	5
Zm00001d007593	7	8	4	0	1	5	3	4
Zm00001d007594	335	247	117	175	278	262	146	170
Zm00001d007595	662	507	2	0	540	784	0	0
Zm00001d007596	170	124	79	104	211	182	234	155
Zm00001d007597	17580	13716	13197	11949	14188	14690	24374	18271
Zm00001d007599	1172	877	317	446	432	352	350	261
Zm00001d007600	308	217	258	224	225	269	378	308
Zm00001d007602	2	0	1	3	3	0	0	1
Zm00001d007603	16	4	9	10	9	0	7	23
Zm00001d007605	135	144	16	8	117	132	83	7
Zm00001d007606	18	9	13	0	11	9	2	2
Zm00001d007609	1508	1167	895	719	1075	1102	992	882
Zm00001d007610	97	71	86	66	202	276	145	89
Zm00001d007616	1	7	14	0	23	25	22	30
Zm00001d007624	224	213	20	39	802	957	74	58
Zm00001d007625	3	12	0	0	14	7	0	0
Zm00001d007630	55	51	38	46	74	73	60	45
Zm00001d007632	32	16	117	98	31	36	269	187
Zm00001d007633	365	375	269	143	112	164	116	122
Zm00001d007634	0	0	13	6	0	2	25	15
Zm00001d007635	282	267	81	85	341	329	165	110
Zm00001d007636	482	422	377	380	578	681	657	588
Zm00001d007638	469	337	548	541	608	563	632	658
Zm00001d007639	3923	2978	2799	2608	2971	2454	2708	2439
Zm00001d007640	341	256	383	394	344	443	539	384
Zm00001d007644	0	0	4	27	1	0	15	20
Zm00001d007645	199	231	141	168	279	339	250	220
Zm00001d007650	905	735	846	835	967	842	1116	902
Zm00001d007655	0	0	82	107	0	0	296	131
Zm00001d007656	1	2	1	0	0	1	3	5
Zm00001d007658	3	0	2	1	0	0	3	2
Zm00001d007659	3	0	0	1	2	5	0	0
Zm00001d007661	361	287	444	400	510	652	785	618
Zm00001d007665	2	5	8	11	4	13	23	20
Zm00001d007667	37	43	32	56	65	97	127	81
Zm00001d007670	0	0	1	2	3	1	3	0
Zm00001d007675	445	417	73	94	473	573	259	180
Zm00001d007677	650	599	361	439	761	732	766	591
Zm00001d007679	403	350	265	333	401	358	539	401
Zm00001d007682	131	112	131	146	137	165	241	170
Zm00001d007686	34	19	7	2	44	55	2	7
Zm00001d007687	3972	3311	1550	1580	6260	8273	4832	3776
Zm00001d007688	106	139	0	0	114	121	0	0
Zm00001d007691	7	6	8	19	25	18	16	31
Zm00001d007692	1262	961	970	781	1588	1649	1552	1346
Zm00001d007698	2220	1911	1591	1935	2188	2658	3432	2486
Zm00001d007702	1	0	4	2	1	2	3	2
Zm00001d007706	90	85	48	60	165	212	99	68
Zm00001d007709	334	367	269	449	629	1004	972	780
