	HN_B73L2	HN_B73L4	HN_SDL1	HN_SDL2	LN_B73L1	LN_B73L4	LN_SDL3	LN_SDL4
Zm00001d027416	49	50	184	160	44	38	161	116
Zm00001d027419	23	11	233	168	16	0	27	41
Zm00001d027421	3380	1974	3124	3113	1271	713	1083	1125
Zm00001d027422	6642	4551	6310	5652	2591	1796	2100	1707
Zm00001d027423	143	243	26	13	396	732	27	23
Zm00001d027425	131	76	277	246	223	187	134	134
Zm00001d022658	1	3	1	1	4	3	6	3
Zm00001d027427	1816	1532	1666	1632	2170	1856	1667	1360
Zm00001d027429	59	65	18	14	123	94	51	37
Zm00001d027430	355	247	268	300	235	291	367	248
Zm00001d027431	394	253	210	150	528	194	203	266
Zm00001d022659	2	1	2	1	8	11	11	3
Zm00001d027434	173	134	76	98	264	416	183	229
Zm00001d027435	4346	3351	6012	6093	6289	7808	10965	8937
Zm00001d027436	226	186	481	421	326	532	1002	895
Zm00001d027437	1	2	0	0	8	18	0	0
Zm00001d027439	626	551	968	703	612	454	718	847
Zm00001d027440	8	2	27	134	27	19	67	51
Zm00001d027441	8	6	0	5	9	19	2	3
Zm00001d027442	10926	7107	10841	11419	3997	3082	5287	4668
Zm00001d027443	142	161	131	81	306	379	218	224
Zm00001d027444	315	211	166	157	252	292	244	179
Zm00001d027445	424	388	447	433	495	451	662	560
Zm00001d027446	1316	869	634	667	715	414	470	525
Zm00001d027447	650	639	437	346	576	736	676	456
Zm00001d027448	177	161	128	141	294	243	329	249
Zm00001d027449	295	290	176	119	746	1263	352	290
Zm00001d027450	120	82	98	97	154	171	183	153
Zm00001d027451	380	197	557	476	279	212	453	315
Zm00001d027453	10	0	14	5	1	2	0	1
Zm00001d027454	1059	909	2278	2368	883	853	2436	2251
Zm00001d027455	4385	3748	429	452	3571	3787	1007	731
Zm00001d027456	21186	15697	20875	19941	11595	8088	10035	9423
Zm00001d027457	103	108	25	29	226	355	36	65
Zm00001d027458	50	28	36	23	81	89	75	39
Zm00001d027460	403	309	285	369	335	357	396	343
Zm00001d027461	14	21	20	11	46	15	3	3
Zm00001d027462	145	105	47	87	166	130	107	94
Zm00001d027463	7	7	7	8	21	36	6	9
Zm00001d027464	0	1	0	0	4	1	0	3
Zm00001d027466	269	252	267	267	388	502	469	383
Zm00001d027468	1294	986	1256	960	1445	1810	1448	1687
Zm00001d027469	157	139	166	188	181	244	289	211
Zm00001d027471	501	287	564	571	462	174	261	419
Zm00001d027472	853	786	974	1224	569	762	4745	2958
Zm00001d027477	3	6	6	8	9	5	8	22
Zm00001d027478	364	313	210	161	418	442	328	242
Zm00001d027479	73	53	153	158	138	90	197	128
Zm00001d022662	3	0	15	10	3	1	20	23
Zm00001d027480	1545	1296	2591	2344	1852	1281	1625	1399
Zm00001d027481	2625	2178	2679	2491	1061	942	2134	1747
Zm00001d027483	422	616	43	47	560	273	103	85
Zm00001d027484	318	265	176	114	504	631	263	296
Zm00001d027485	37	19	32	30	67	31	48	31
Zm00001d027486	2318	1705	2088	2257	2774	3678	2232	1518
Zm00001d027487	2100	1811	1528	1708	1560	1678	2749	1940
Zm00001d027488	194516	171633	190513	171851	68036	50738	59745	48392
zma-MIR528a	48	12	400	700	0	5	66	37
Zm00001d027489	1	7	239	411	18	20	88	53
Zm00001d027493	1229	987	1011	687	1315	1120	971	823
Zm00001d027495	1	0	1	0	0	0	2	3
Zm00001d027499	812	811	155	118	2143	3453	221	216
Zm00001d027500	13	13	28	30	8	10	11	14
Zm00001d027502	1455	1102	483	424	1072	836	427	428
Zm00001d027503	592	520	416	499	779	929	977	818
Zm00001d027504	15	19	2	13	16	28	21	16
Zm00001d027505	167	172	92	113	179	221	201	165
Zm00001d027506	197	197	144	139	274	339	402	299
Zm00001d027508	103	43	63	74	114	137	52	68
Zm00001d027509	148	155	60	69	181	264	180	111
Zm00001d027510	2318	2009	926	1155	1674	2339	2250	1589
Zm00001d027511	13773	11981	10406	9890	7958	7485	11134	10640
Zm00001d027512	2	4	4	6	12	12	12	36
Zm00001d027514	557	480	463	420	712	641	698	526
Zm00001d027515	103	113	86	44	128	165	230	188
Zm00001d027516	294	289	244	216	426	478	474	361
Zm00001d027517	659	505	543	524	617	917	920	812
Zm00001d027518	2417	1441	1834	1987	962	605	957	980
Zm00001d027519	145	112	213	142	442	668	483	523
Zm00001d027520	2004	1769	2065	2216	929	931	1443	932
Zm00001d027522	15	62	8	19	20	0	30	47
Zm00001d027523	718	521	624	575	966	950	1051	856
Zm00001d027524	47	76	103	23	136	112	231	135
Zm00001d027525	294	183	379	156	359	320	399	348
Zm00001d027527	196	122	166	121	234	241	177	194
Zm00001d027528	1	0	1	3	1	2	1	0
Zm00001d027530	67	112	80	47	217	292	284	297
Zm00001d027532	576	623	366	502	451	504	366	199
Zm00001d027533	1949	1988	1234	787	577	929	404	625
Zm00001d027534	1	1	1	7	3	17	22	38
Zm00001d027535	465	423	361	410	351	242	566	434
Zm00001d027536	1252	1154	1541	1254	845	696	1198	1023
Zm00001d027537	964	745	410	189	717	948	219	243
Zm00001d027539	1	0	7	1	4	0	0	8
Zm00001d027540	4	0	5	1	1	0	1	5
Zm00001d027541	3	2	1	12	7	1	0	13
Zm00001d027542	964	563	841	878	545	415	507	537
Zm00001d027544	301	195	396	368	194	195	507	483
Zm00001d027546	16	4	0	1	38	29	0	0
Zm00001d027548	703	590	370	288	454	370	307	296
Zm00001d027550	77	71	50	48	160	285	145	180
Zm00001d027554	77	70	58	58	124	96	98	96
Zm00001d027555	188	159	119	107	222	234	162	149
Zm00001d027556	397	340	267	238	455	451	313	278
Zm00001d027557	2654	2711	82	33	12105	12685	459	529
Zm00001d027558	2377	1829	1334	1320	1967	2156	1412	1299
Zm00001d027566	0	0	1	1	0	0	2	3
Zm00001d027567	3	1	3	4	4	8	3	13
Zm00001d027570	544	409	364	275	547	698	682	575
Zm00001d027571	810	699	526	498	965	824	785	662
Zm00001d027572	244	197	225	173	560	582	421	353
Zm00001d027573	3344	2690	3007	2598	2679	2966	3767	2741
Zm00001d027576	194	201	34	20	277	383	67	40
Zm00001d027578	27	19	20	16	29	27	40	52
Zm00001d027580	204	137	133	117	225	315	164	183
Zm00001d027581	1006	416	721	650	1853	1392	1795	2078
Zm00001d027582	29	4	19	32	43	34	154	108
Zm00001d027585	77	70	61	60	134	150	92	82
Zm00001d027588	562	545	335	367	521	656	692	454
Zm00001d027589	11	19	1	7	9	6	12	0
Zm00001d027590	2	1	0	0	11	3	13	6
Zm00001d027593	163	98	467	391	495	804	1255	1225
Zm00001d027595	168	101	244	214	185	201	356	279
Zm00001d027596	889	811	469	503	988	1284	815	613
Zm00001d027597	596	599	356	407	285	236	292	230
Zm00001d027598	34	20	193	168	27	16	353	210
Zm00001d027599	40	7	11	15	86	4	0	12
Zm00001d027601	50	6	10	23	78	55	66	73
Zm00001d027606	70	71	0	0	124	132	0	0
Zm00001d027607	12	8	8	11	19	45	54	50
Zm00001d027610	4	2	1	3	5	7	16	10
Zm00001d027611	0	0	1	0	3	4	13	9
Zm00001d027612	1090	911	854	820	890	780	1022	910
Zm00001d027613	3756	3052	1410	1019	6007	4796	3255	3494
Zm00001d027616	6	4	16	2	9	41	87	77
Zm00001d027618	212	138	201	146	198	178	121	162
Zm00001d027619	3325	2529	1154	936	3817	4361	2137	2222
Zm00001d027621	194	172	120	51	255	294	69	78
Zm00001d027622	85	77	168	76	181	298	80	124
Zm00001d027624	1075	911	800	575	2851	4783	2450	2119
Zm00001d027625	3055	2443	2803	2194	3172	3077	3806	3644
Zm00001d022667	76	75	0	0	175	142	0	0
Zm00001d027626	221	166	111	142	308	370	439	341
Zm00001d027630	693	351	856	1022	1069	725	1679	1323
Zm00001d027633	303	251	194	237	322	207	438	333
Zm00001d027636	4	9	0	0	8	9	1	1
Zm00001d027637	12	3	19	28	24	15	63	62
Zm00001d027638	1	0	1	6	0	0	0	1
Zm00001d027646	82	71	89	110	90	133	132	127
Zm00001d027648	232	147	208	161	261	367	350	303
Zm00001d027649	191	65	48	71	132	126	114	65
