Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	L_HN_m	L_LN_m
Zm00001d037495	212.755931	-2.791713371	0.436650028	-6.39348034	1.62e-10	7.61e-09	5.442503966	2.33453779
Zm00001d043699	101.4584853	-2.790910333	0.603008775	-4.62830799	3.69e-06	6.34e-05	5.104811236	1.055408239
Zm00001d040659	655.8449557	-2.778289532	0.474960935	-5.849511673	4.93e-09	1.67e-07	23.26860331	7.961627008
Zm00001d001820	4470.562762	-2.777427441	0.865397674	-3.209423281	0.001330015	0.009605907	192.0274096	37.4572322
Zm00001d021370	17167.62664	-2.775259664	0.336806033	-8.239934547	1.72e-16	2.41e-14	1195.457392	261.7722275
Zm00001d026542	1278.64818	-2.772559489	0.479592353	-5.781075263	7.42e-09	2.41e-07	31.85931797	12.10368946
Zm00001d013507	477.9461741	-2.771761422	0.834241171	-3.322494162	0.000892165	0.00690701	12.41258873	2.238474046
Zm00001d050889	991.4501246	-2.762651592	0.392774556	-7.033682677	2.01e-12	1.4e-10	67.94021319	15.47804867
Zm00001d007272	26.19390243	-2.75646814	0.670696514	-4.109859052	3.96e-05	0.000505368	1.277038637	0.382132085
Zm00001d000688	24.64581204	-2.755458977	0.793595878	-3.47211856	0.000516368	0.004395003	2.337200775	0.497224297
Zm00001d035561	50.37361336	-2.752295565	0.740485628	-3.716879114	0.000201699	0.001990315	2.260494682	0.493066554
Zm00001d044401	964.7828201	-2.750014435	0.773140532	-3.556939937	0.0003752	0.003382019	62.67665782	11.44024317
Zm00001d028432	6217.376699	-2.74672872	0.319072956	-8.608466076	7.4e-18	1.3e-15	501.9344725	146.8791337
Zm00001d005146	992.6348133	-2.735670758	0.54390346	-5.029699128	4.91e-07	1.05e-05	177.5611205	34.4269942
Zm00001d023372	39.59814272	-2.72206376	0.569145998	-4.78271616	1.73e-06	3.23e-05	0.619995992	0.565887431
Zm00001d013133	698.2595154	-2.716953712	0.575512648	-4.720927888	2.35e-06	4.24e-05	165.7786214	35.34099744
Zm00001d048737	1113.785584	-2.714498251	0.383838794	-7.071974737	1.53e-12	1.08e-10	38.95476658	10.03214286
Zm00001d018082	55.19140334	-2.711738459	0.606593746	-4.470435899	7.81e-06	0.000121547	2.078937055	0.730433624
Zm00001d010321	6251.806683	-2.70104007	0.163521581	-16.51794247	2.73e-61	1.21e-57	96.42389781	30.32690394
Zm00001d009022	1221.899535	-2.685298819	0.378812141	-7.088734833	1.35e-12	9.72e-11	43.03367575	11.02183321
Zm00001d008612	2292.532579	-2.682363634	0.384337668	-6.979184858	2.97e-12	1.99e-10	170.2654856	35.41858854
Zm00001d021791	136.8146872	-2.679911994	0.547515207	-4.894680473	9.85e-07	1.96e-05	5.778606496	1.506868394
Zm00001d005981	366.8785196	-2.671266622	0.299895247	-8.907332298	5.23e-19	1.08e-16	8.197703439	2.411878826
Zm00001d025037	40.52133725	-2.670089173	0.635568822	-4.201101564	2.66e-05	0.00035672	1.468239166	0.353100288
Zm00001d039379	289.7872151	-2.663381861	0.34735814	-7.667538351	1.75e-14	1.77e-12	42.12365604	8.865753197
Zm00001d050293	370.4910744	-2.660456472	0.462731725	-5.749457689	8.95e-09	2.86e-07	3.935740742	1.097993008
Zm00001d014597	81.71211438	-2.659914788	0.522301505	-5.092680686	3.53e-07	7.83e-06	1.063885656	0.275127718
Zm00001d015348	219.1673519	-2.637618493	0.511358924	-5.158057033	2.5e-07	5.71e-06	7.209502452	2.875122149
