Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneID	Symbol	Synonyms
Zm00001d016764	157.347744402576	1.8653830905097	0.4518637739753	4.12819791703786	3.65617359268941e-05	0.000379660456081788	100281673	LOC100281673	GRMZM2G041141
Zm00001d016797	269.103805873172	1.19779355001257	0.311899439650542	3.84031965993461	0.000122874208872546	0.00108769840569595	100272502	LOC100272502	GRMZM2G165631|cl15683_1
Zm00001d016799	790.42599128151	-1.39983337758441	0.437617417974949	-3.19876065276848	0.0013801970341748	0.00861371586473586	109939968	LOC109939968	-
Zm00001d016802	9747.57146328567	-1.85462363914124	0.225666039885188	-8.21844367936276	2.06161017323884e-16	1.34918624460751e-14	100283135	LOC100283135	GRMZM2G006791|pco111578
Zm00001d016866	1264.94861990078	-1.07393561697424	0.150332014369433	-7.14375857650051	9.08128446648085e-13	3.87423401845056e-11	100272516	LOC100272516	GRMZM2G135816
Zm00001d016873	140.401618392554	1.16286293354331	0.286151256432732	4.06380509399115	4.82791448653764e-05	0.000484488398125664	103627314	LOC103627314	GRMZM5G839518
Zm00001d016891	141.85963124599	1.59012106385977	0.404072458999439	3.93523742696352	8.31144888189762e-05	0.000776482392666602	100273262	LOC100273262	GRMZM2G070708
Zm00001d016895	82.9259182921275	-1.20327343695296	0.242516100389175	-4.96162289852928	6.99066163117374e-07	1.09676557874109e-05	100282074	LOC100282074	GRMZM2G049675
Zm00001d016896	202.50741605752	1.57886237091908	0.448736336319855	3.5184633895876	0.000434053701635865	0.00321103337761999	100283727	LOC100283727	GRMZM2G049798
Zm00001d016902	1613.60706081052	-1.15641244519315	0.254223066248851	-4.54881007556244	5.39501054901319e-06	6.92186513945243e-05	100304324	LOC100304324	GRMZM2G105466
Zm00001d016918	259.158568271636	1.1372408315159	0.278014648536704	4.09057881482731	4.30297950080771e-05	0.000438586545353022	100194291	LOC100194291	GRMZM2G072146
Zm00001d016926	19784.474383304	-1.19835434803873	0.15135357517503	-7.91758203698137	2.42173841053447e-15	1.40131816579279e-13	100281496	LOC100281496	GRMZM2G040511|pco091925
Zm00001d016942	91.324374315017	-1.10094203561036	0.301884787870579	-3.64689470899191	0.00026542862286163	0.00210182903095642	100383517	LOC100383517	GRMZM2G132706
Zm00001d016943	3166.83123835028	-2.33399322138741	0.440780881809048	-5.29513261058024	1.18930072334906e-07	2.18369060730262e-06	103627333	LOC103627333	GRMZM5G870219
Zm00001d016950	157.263860225167	2.56829971305172	0.734018434567795	3.49895805350446	0.000467080055132891	0.00342705645648338	103627335	LOC103627335	GRMZM2G146380
Zm00001d016956	1124.95162985998	-1.11791562133445	0.316369279034832	-3.53357830679689	0.000409974622114598	0.00305815407900068	100383655	LOC100383655	GRMZM2G099989
Zm00001d016979	30.2538658610612	-2.14483392763117	0.537629976624674	-3.98942399212331	6.62339382669315e-05	0.00063805114946724	541817	LOC541817	GRMZM2G410710|phb3
Zm00001d016991	46730.8928380465	-1.49950644169736	0.196116374198675	-7.64600328669288	2.07322370599143e-14	1.06032332884573e-12	100276652	LOC100276652	GRMZM2G377168
Zm00001d017014	56.081973388053	4.05952823021438	1.18857229016669	3.41546598704994	0.000636729809453264	0.0044893474253719	103627351	LOC103627351	GRMZM5G882364
Zm00001d017036	450.690654616839	-2.12811208603473	0.436808555846708	-4.87195604928023	1.10498753576693e-06	1.65754510200696e-05	103627358	LOC103627358	GRMZM2G013324
Zm00001d017037	863.082842846107	-1.07406147070636	0.111691689110972	-9.61630609453151	6.82377583411142e-22	7.67482770329216e-20	100278203	LOC100278203	GRMZM2G095144
Zm00001d017069	1760.65835514475	-1.46432302237159	0.164197931575463	-8.91803574089848	4.74631255243826e-19	4.12421225501333e-17	100382112	LOC100382112	GRMZM2G092780
Zm00001d017092	14050.2980163203	-1.5193083451168	0.186130676773299	-8.16258970017752	3.27916892091413e-16	2.09842580626281e-14	100284040	LOC100284040	GRMZM2G106061
Zm00001d017095	80.0957978907418	-4.59734935636487	0.810806864040539	-5.67009180639473	1.42721020712673e-08	3.20764259440827e-07	778437	LOC778437	GRMZM2G179294|NAR2.1
Zm00001d017118	4456.70077080186	-1.23392895663273	0.219368302407341	-5.62491911133754	1.85594921190328e-08	4.0520518045764e-07	100273241	LOC100273241	GRMZM2G030606|csu173
Zm00001d017176	3560.40422248458	-1.01410735813058	0.116777117357166	-8.68412734516218	3.81661026746995e-18	3.00482882906475e-16	100281289	LOC100281289	GRMZM2G021777
Zm00001d017186	2061.64719058114	-1.92006043195743	0.32243691425471	-5.95484061245131	2.60325413314966e-09	6.57290045027807e-08	100194386	LOC100194386	GRMZM2G035584|gpm105
Zm00001d017199	2677.47354587839	1.12090606583898	0.233530103084124	4.79983544320706	1.58796053631482e-06	2.29842911944263e-05	100272963	LOC100272963	GRMZM2G072034|pco144549(705)
Zm00001d017240	1009.20374240204	1.16108359042872	0.207639091371498	5.59183525009441	2.24681962990586e-08	4.81241721389812e-07	100303864	LOC100303864	GRMZM2G148387
Zm00001d017249	273.446970211824	-1.51031117315728	0.418428945526541	-3.60948062820258	0.000306810683842616	0.00237593096182266	100191554	LOC100191554	GRMZM2G028736
Zm00001d017261	343.695171924405	-2.27703839885991	0.189836180254521	-11.9947546131986	3.78537315287462e-33	1.38517999837796e-30	100217181	LOC100217181	GRMZM2G075683
Zm00001d017275	2882.36442424623	1.25867014950189	0.373136425296196	3.37321704388083	0.000742953635840313	0.00510923197796908	100273579	LOC100273579	GRMZM2G029048
Zm00001d017276	239.882637736267	1.71888225918308	0.462140586550965	3.71939255976497	0.000199702471619698	0.00165343209533186	103627433	LOC103627433	GRMZM2G334660
Zm00001d017279	834.579349027693	1.17983710043127	0.32994453041148	3.57586500664179	0.000349071755500418	0.00265804023436587	100381820	LOC100381820	GRMZM2G170692
Zm00001d017330	5107.65913645302	-1.25340323631529	0.142174735287759	-8.81593508001562	1.18690247385646e-18	9.85204893714528e-17	100284276	LOC100284276	GRMZM2G053236
Zm00001d017364	4896.56137375389	-1.07560269841163	0.22375330024928	-4.80709199468039	1.53141532617839e-06	2.22501935648014e-05	100191544	LOC100191544	GRMZM2G139803
Zm00001d017378	176.405311348389	-1.2298757902047	0.355158614402251	-3.46289162174665	0.000534403601121672	0.00386427496819988	103627470	LOC103627470	GRMZM2G169994
