Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GeneID	Symbol	Synonyms
Zm00001d032402	337.084544718126	3.09552403363737	0.494501025288918	6.25989406559627	3.85239074905028e-10	2.14904886469172e-08	100276113	LOC100276113	GRMZM2G096303|IDP671
Zm00001d032408	841.840268112461	1.50415262251108	0.304123287125947	4.94586467457248	7.58066100447835e-07	1.92929734121006e-05	103643350	LOC103643350	GRMZM2G075247
Zm00001d032451	4.54718039207713	-4.68023786991059	1.24760426102109	-3.75138015806397	0.000175863809460114	0.00208102134945725	103643368	LOC103643368	-
Zm00001d032458	4203.19822628188	3.22688628118815	0.667117429630246	4.83705887129448	1.31774408654345e-06	3.13665797266812e-05	100279598	LOC100279598	GRMZM2G181236
Zm00001d032476	4005.15860134268	1.2694163652869	0.194221942235535	6.53590603963515	6.32256014801585e-11	4.18550768253522e-09	100282582	LOC100282582	GRMZM2G114570
Zm00001d032545	360.168921951687	-1.44952594558748	0.405636692204533	-3.57345864771176	0.000352296900680847	0.00367534903250032	103643397	LOC103643397	GRMZM2G429928
Zm00001d032552	715.117109550208	1.17120079412124	0.220016685940733	5.32323623144079	1.01937224599915e-07	3.30321580008695e-06	100217307	LOC100217307	GRMZM5G822098
Zm00001d032651	872.833046402677	-1.63864929357998	0.370603620255849	-4.42156850073058	9.79869892406673e-06	0.00017928829365868	100217282	LOC100217282	GRMZM2G162758|si603009f05(73)
Zm00001d032688	573.219401401745	2.31668549902282	0.383299601640122	6.04405924010834	1.50284289751195e-09	7.28949694109215e-08	100282510	LOC100282510	GRMZM5G879665
Zm00001d032691	970.555422646386	3.4410529068006	0.45678424641156	7.53321274503901	4.95068518213281e-14	5.45441739941483e-12	100382861	LOC100382861	GRMZM2G085974
Zm00001d032703	1717.4598657087	1.0854941345583	0.22100845596799	4.91155023822041	9.03591288198136e-07	2.2534266491208e-05	103643455	LOC103643455	GRMZM2G107629
Zm00001d032722	80.177989677796	-1.01450399464691	0.268272230484062	-3.78162135088068	0.000155810236130125	0.00188938285156376	103643463	LOC103643463	-
