1	304190001	304530000	1	304190001	304495000	10.05696216	XPCLR	304999
2	7690001	7740000	2	7690001	7740000	13.40779646	XPCLR	49999
2	9845001	9940000	2	9845001	9940000	10.99182366	XPCLR	94999
2	18105001	18170000	.	-1	-1	.	.	0
2	21265001	21410000	.	-1	-1	.	.	0
2	21665001	21815000	.	-1	-1	.	.	0
2	21955001	22185000	.	-1	-1	.	.	0
2	27125001	27350000	.	-1	-1	.	.	0
2	28200001	28885000	.	-1	-1	.	.	0
2	29235001	29385000	.	-1	-1	.	.	0
2	31125001	31300000	.	-1	-1	.	.	0
2	33400001	33675000	.	-1	-1	.	.	0
2	34510001	34885000	.	-1	-1	.	.	0
2	34940001	35225000	2	34995001	35085000	11.58832064	XPCLR	89999
2	37965001	38345000	2	38065001	38345000	14.58239528	XPCLR	279999
2	39035001	39520000	2	39035001	39475000	11.18488667	XPCLR	439999
2	46670001	46865000	2	46680001	46865000	12.07273562	XPCLR	184999
2	47210001	47305000	.	-1	-1	.	.	0
2	51125001	51480000	2	51185001	51480000	14.13942192	XPCLR	294999
2	51480001	51800000	.	-1	-1	.	.	0
2	52790001	53145000	2	52790001	53145000	12.15329467	XPCLR	354999
2	63435001	63645000	2	63460001	63645000	10.85439146	XPCLR	184999
2	66635001	66855000	.	-1	-1	.	.	0
2	74630001	74725000	.	-1	-1	.	.	0
2	75385001	75620000	2	75385001	75620000	11.83879721	XPCLR	234999
2	84660001	84720000	.	-1	-1	.	.	0
2	92005001	92065000	2	92005001	92065000	9.543845228	XPCLR	59999
2	103605001	103660000	2	103605001	103660000	11.30595043	XPCLR	54999
2	103745001	104030000	2	103835001	103935000	21.36001219	XPCLR	99999
2	105050001	105690000	2	105050001	105440000	12.23213859	XPCLR	389999
2	106930001	107165000	2	106930001	107165000	11.03650105	XPCLR	234999
2	109310001	110405000	2	109395001	110405000	31.67540208	XPCLR	1009999
2	113415001	113620000	2	113415001	113620000	10.94049213	XPCLR	204999
2	114090001	114580000	2	114335001	114565000	17.71361704	XPCLR	229999
2	115365001	116500000	2	115595001	115690000	11.51789958	XPCLR	94999
2	115365001	116500000	2	115900001	116075000	9.896663372	XPCLR	174999
2	117200001	117610000	.	-1	-1	.	.	0
2	131635001	131810000	.	-1	-1	.	.	0
2	135495001	135605000	.	-1	-1	.	.	0
2	147860001	147945000	2	147860001	147945000	26.13530212	XPCLR	84999
2	150065001	150115000	.	-1	-1	.	.	0
2	165855001	165910000	2	165855001	165910000	10.35060958	XPCLR	54999
2	166225001	166440000	.	-1	-1	.	.	0
2	167175001	167705000	.	-1	-1	.	.	0
2	180295001	180345000	.	-1	-1	.	.	0
2	182580001	182700000	.	-1	-1	.	.	0
2	188375001	188545000	.	-1	-1	.	.	0
2	193595001	193645000	.	-1	-1	.	.	0
2	193715001	193830000	2	193715001	193830000	18.81057671	XPCLR	114999
2	194925001	195250000	.	-1	-1	.	.	0
2	195270001	195410000	2	195270001	195410000	13.95815101	XPCLR	139999
2	204790001	205015000	.	-1	-1	.	.	0
2	206280001	206345000	2	206280001	206345000	9.663125089	XPCLR	64999
2	206475001	206590000	2	206475001	206590000	10.39032887	XPCLR	114999
2	206830001	207505000	2	206830001	207245000	13.04480892	XPCLR	414999
2	208445001	209845000	2	209085001	209375000	15.45286352	XPCLR	289999
2	208445001	209845000	2	209470001	209845000	20.58303231	XPCLR	374999
2	210160001	210740000	2	210165001	210740000	19.80371838	XPCLR	574999
2	220000001	220195000	.	-1	-1	.	.	0
2	221470001	221760000	.	-1	-1	.	.	0
2	224465001	224760000	2	224470001	224760000	10.40129734	XPCLR	289999
2	226600001	226670000	.	-1	-1	.	.	0
2	231865001	232090000	2	231865001	232090000	19.82927298	XPCLR	224999
