taxa	Nitrate_Blup	ChlorophyllA_Blup	ChlorophyllB_Blup	Glutamate_Blup	Malate_Blup	Fumarate_Blup	Fum2_Blup	AminoAcids_Blup	Protein_Blup	Starch_Blup	Sucrose_Blup	Glucose_Blup	Fructose_Blup	PrinicpalComponent1	PrincipalComponent2	DaysToAnthesis
Z001E0001	0.056975	62.7766	29.7834	0.10414	0.24107	-0.02913	0.05682	2.88439	1.02967	1.2057	3.3362	0.9716	0.9949	1.7863	1.93747	75.5364
Z001E0002	0.05053	52.295	27.0123	0.06211	0.16944	-0.0487	0.03898	1.77951	1.03883	0.7831	2.1946	0.93261	0.8061	-0.497	-0.04911	76.9075
Z001E0003	0.053408	60.7215	27.81702	0.0603	0.21451	-0.016701	0.08262	2.05109	1.10131	0.94511	3.3218	0.7552	0.79125	1.4528	0.2017	75.2646
Z001E0004	0.053578	61.4693	28.1361	0.07452	0.18378	-0.04306	0.04327	1.90119	1.11123	0.6997	2.1846	0.6961	0.63	0.5087	-1.73145	73.6933
Z001E0005	0.056387	54.7598	26.8448	0.12613	0.30229	0.04351	0.13158	2.49579	1.17181	0.93079	1.0934	1.6025	1.2014	0.8054	1.1429	79.2441
Z001E0006	0.04967	52.0909	29.0003	0.10352	0.18765	-0.05248	0.03281	1.50949	0.9307	1.0741	3.9201	1.155	0.9787	-0.271	2.57681	73.2044
Z001E0007	0.04441	39.6601	26.6512	-0.00308	0.1479	-0.07798	0.01726	1.03869	1.11276	0.6673	1.9677	0.7269	0.534	-2.9877	-2.11413	73.2628
Z001E0008	0.055768	57.7513	28.2752	0.10316	0.27161	-0.008441	0.078503	2.76229	1.07561	0.8848	2.9881	0.9478	0.74442	0.2713	-0.29109	73.6357
Z001E0009	0.052667	53.3366	27.4611	0.13081	0.3566	0.06937	0.15754	0.97029	1.12786	0.8004	2.5215	0.6817	0.72793	1.8158	-0.07955	74.4447
Z001E0010	0.05132	47.9069	28.7724	0.07296	0.18259	-0.02561	0.058	1.59199	1.02571	1.7536	3.453	1.2837	0.9752	-0.872	3.32016	72.882
Z001E0011	0.04714	47.5457	27.0174	0.01526	0.18538	-0.0524	0.03547	2.15679	1.06389	0.7676	2.3529	0.7373	0.7048	1.5738	-1.52909	74.512
Z001E0012	0.04675	44.8501	27.4429	0.00996	0.27648	-0.03736	0.04868	1.41709	1.04225	0.88817	2.1038	1.15	1.0092	-1.8205	1.13364	74.2079
Z001E0013	0.053567	61.2545	28.5112	0.10678	0.21985	-0.02546	0.06255	2.24599	1.13364	1.2652	3.7214	0.90826	1.0068	0.6213	1.61987	74.1043
Z001E0014	0.04871	51.3313	27.4677	0.04982	0.19629	-0.03002	0.05746	1.90469	1.09076	0.6972	2.4176	0.93694	0.87801	-1.7966	-1.18415	72.601
Z001E0015	0.04851	46.6073	27.66474	0.03583	0.21536	-0.014781	0.073022	0.98589	0.99413	1.2276	3.1584	0.7248	0.7058	-1.4347	0.9599	73.2696
Z001E0016	0.05034	54.373	27.3352	0.085608	0.27431	-0.03027	0.05472	1.82699	1.15362	0.7575	2.2611	0.76475	0.6757	0.7312	-0.96547	75.0226
Z001E0017	0.04368	34.8027	26.5685	0.02069	0.2145	-0.07405	0.01374	1.41459	1.00282	0.6778	2.5191	0.91515	0.643	-1.4443	0.01718	75.8734
Z001E0018	0.053006	49.5152	27.3262	0.091037	0.32521	-0.012109	0.071522	2.29039	1.06664	0.96695	2.92827	0.9412	0.90307	0.7174	0.79892	74.1882
Z001E0019	0.05023	49.1281	27.6318	0.10943	0.26611	0.01777	0.12456	1.7115	1.09184	0.95566	2.6454	0.9571	0.77205	0.9705	0.90767	75.3828
Z001E0020	0.04818	51.3893	28.2593	0.02475	0.1816	-0.04893	0.03463	1.36059	1.17598	0.83611	2.77178	0.7577	0.5784	-1.161	-1.81666	73.4536
Z001E0021	0.052487	56.7323	27.1368	0.07144	0.256123	-0.014647	0.08585	1.48199	1.10013	0.6943	2.5934	0.78797	0.76513	-0.7386	-1.82187	73.2101
Z001E0022	0.04947	45.3219	28.949	0.10935	0.30486	0.0248	0.11266	1.726607	0.99919	1.1474	2.75624	2.4271	1.171	-0.0977	5.28946	73.5048
Z001E0023	0.05203	57.4445	25.9021	0.13754	0.30604	0.03025	0.11646	1.49749	1.16292	0.7729	1.6765	1.197	1.2288	0.3053	1.2127	73.2519
Z001E0024	0.04846	45.5222	27.1394	0.05128	0.27621	0.00961	0.09539	1.04729	1.09689	1.1463	2.82671	0.6781	0.71188	-1.673	0.45103	73.3723
Z001E0025	0.05015	50.5123	27.80446	0.07906	0.21869	-0.03155	0.0537	1.6788	1.07185	0.6637	1.8816	1.1342	1.0105	-0.3484	0.12103	74.687
Z001E0027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.4956
Z001E0028	0.04932	51.0707	26.7716	0.01433	0.20722	-0.0615	0.03163	1.33989	1.05421	0.7526	2.2405	0.7315	0.71917	-2.2038	-1.66783	74.1139
Z001E0029	0.052535	55.2297	27.71557	0.090616	0.23375	-0.02927	0.05688	2.03289	1.07257	1.2367	3.0797	1.5963	1.1774	-0.8246	2.80002	74.3565
Z001E0030	0.056286	53.7107	28.0372	0.21748	0.3722	0.0404	0.12647	1.98969	1.054	0.85939	3.2129	0.88953	0.86086	3.2305	1.93232	73.2122
Z001E0031	0.04448	45.6498	29.5564	0.04737	0.25238	-0.06329	0.02208	1.39749	0.98739	0.5756	2.2604	0.5994	0.6397	-1.6048	-1.81055	75.5936
Z001E0032	0.04692	44.9619	27.3978	0.09728	0.256686	0.04035	0.12683	1.13999	0.99397	0.84635	2.78298	1.0666	0.9135	-1.1625	1.07986	72.8877
Z001E0033	0.054218	62.7998	27.6004	0.05642	0.22592	-0.02072	0.06169	1.53709	1.05974	1.0427	3.5424	1.0973	0.88051	-0.1683	1.39564	73.2303
Z001E0034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.0991
Z001E0036	0.05005	55.409	28.301	0.07638	0.256602	-0.0223	0.06572	1.24889	1.03612	1.5398	3.2972	0.90793	0.74884	-0.1115	1.73035	74.7664
Z001E0037	0.052971	62.5894	27.974	0.07316	0.260761	-0.009237	0.073005	1.74961	1.12556	1.4804	3.3845	0.92353	0.9396	0.8115	1.92819	72.3426
Z001E0038	0.058391	73.4489	28.2779	0.06635	0.3776	-0.008698	0.076653	1.83779	1.0418	0.6414	3.4472	0.7438	0.73787	1.1378	-0.61377	71.9588
Z001E0039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.7715
Z001E0040	0.054858	64.1111	27.76851	0.139	0.22535	-0.008215	0.08304	2.11289	1.1963	0.9399	2.90337	0.91074	0.8702	1.747	0.16218	71.8381
Z001E0041	0.04892	52.5362	27.3218	0.07206	0.23437	-0.03893	0.05796	2.22019	1.0325	0.5866	2.7288	0.85551	0.79245	-0.1091	-1.28667	74.4177
Z001E0042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.9285
Z001E0043	0.056735	68.4846	27.2046	0.09177	0.24806	-0.03307	0.06181	1.38089	1.13142	0.6939	2.5236	0.7499	0.71378	1.0052	-1.40254	73.1977
Z001E0044	0.053662	62.2185	27.4844	0.15027	0.32715	-0.00253	0.08362	2.58769	1.17378	0.6336	2.6707	0.6938	0.6619	2.6239	-1.41345	73.5602
Z001E0045	0.052738	64.2542	27.0547	0.02381	0.29732	-0.0471	0.04426	1.54759	1.1242	0.85049	3.1198	0.83826	0.7907	0.5253	-0.70995	74.0994
Z001E0046	0.05031	49.88	28.0575	0.10342	0.16166	-0.01327	0.07653	2.36989	1.06297	1.2885	3.9559	1.0354	0.84221	-0.4023	2.07059	76.4935
Z001E0047	0.056244	64.9051	27.1828	0.07621	0.25077	-0.03876	0.04893	1.70683	1.10882	0.7094	2.83505	0.83283	0.881	-0.0011	-0.1725	73.4461
Z001E0048	0.04869	47.0313	27.8418	0.03216	0.19836	-0.02834	0.05614	1.57079	1.02359	1.1036	2.83102	0.78087	0.71418	-1.7348	-0.10233	75.6448
Z001E0049	0.05081	58.6093	27.7861	0.03854	0.2182	-0.04476	0.04444	1.62179	1.02898	0.617	2.5233	0.8229	0.74823	-0.8385	-0.76927	74.497
Z001E0050	0.04332	43.7731	28.0803	0.03271	0.18692	-0.02329	0.06272	0.99809	1.079446	0.80311	2.4453	0.78623	0.6971	-2.0179	-0.82673	72.7085
Z001E0051	0.04808	51.8602	27.5563	0.09861	0.27492	-0.02464	0.05742	1.38729	1.06142	0.6289	2.6508	0.6309	0.6499	-0.699	-1.30157	74.9463
Z001E0052	0.04202	33.0235	27.4278	0.07169	0.26395	0.02059	0.10646	0.90589	1.11264	1.4727	2.411	1.9999	0.86477	-1.0901	4.05178	74.3927
Z001E0053	0.057782	63.4776	26.9604	0.07393	0.2712	-0.02633	0.05926	1.50839	0.7755	0.7524	2.78311	0.7297	0.73036	0.1613	-0.29292	72.7681
Z001E0054	0.04787	44.2085	26.8739	0.02639	0.15407	-0.05394	0.04018	1.58789	1.07434	1.0814	2.7283	1.0643	0.88298	-2.1722	0.74897	73.7137
Z001E0055	0.059343	70.2751	28.2871	0.17433	0.3404	0.05404	0.13655	1.98649	1.15252	0.4279	3.4632	0.2863	0.3279	4.2697	-1.8553	72.602
Z001E0056	0.05078	66.6605	27.2415	0.09668	0.31508	-0.010459	0.077246	1.49209	1.05629	0.7807	3.0677	0.83997	0.83086	1.5503	-0.61212	71.405
Z001E0057	0.05092	57.5828	28.824	0.05546	0.33691	-0.03823	0.04407	1.41109	1.04783	0.6707	2.84959	0.83553	0.73629	0.0003	-0.62875	72.6688
Z001E0058	0.04947	56.2845	27.968	0.07626	0.1382	-0.06911	0.01859	1.65645	1.10162	0.5426	2.5905	0.2763	0.5783	-0.5899	-2.84208	73.5428
Z001E0059	0.06241	67.1266	26.8865	0.09824	0.32751	0.01243	0.09698	1.65361	1.06114	0.73	2.5015	0.7145	0.6884	1.348	-1.10594	75.956
Z001E0060	0.0523	62.2185	27.4844	0.04045	0.26479	-0.03644	0.04966	1.50209	0.9487	0.6562	2.4939	0.7147	0.6361	-0.6288	-1.7797	73.2871
Z001E0061	0.052981	52.1928	28.1347	0.1162	0.243	-0.09377	-0.01151	2.20739	1.07437	1.68	2.2408	1.9199	1.503	-1.1979	4.28179	71.8296
Z001E0062	0.052781	60.4215	27.65267	0.06368	0.23323	-0.04951	0.03761	2.19909	1.12194	0.99919	2.84441	0.86375	0.83647	-0.1393	-0.22964	73.7957
Z001E0063	0.055711	66.7743	28.1197	0.11597	0.3105	-0.0231	0.06438	2.55109	1.1152	0.99735	3.1142	0.94686	0.967	1.9939	1.38375	75.6592
Z001E0064	0.05184	54.6717	29.8226	0.05079	0.23732	-0.02638	0.05923	1.30449	1.00358	0.7225	2.90611	0.7622	0.71327	-1.1512	-1.30301	76.1854
Z001E0065	0.057602	69.0318	29.0607	0.17132	0.4218	0.07217	0.16022	1.35039	1.02545	0.83073	3.4047	0.557	0.5211	3.501	0.22358	70.6348
Z001E0066	0.0535	68.4083	28.2815	0.10566	0.2427	-0.02378	0.06427	2.14449	1.12059	0.6876	2.6134	0.686	0.71618	1.4838	-1.07058	75.178
Z001E0067	0.04798	51.8433	27.4719	0.05804	0.22151	-0.02385	0.0616	1.52689	1.06199	1.1193	2.5944	0.80049	0.6944	-0.8574	-0.2507	72.5856
Z001E0068	0.05356	58.7562	28.6027	0.14699	0.33495	0.01561	0.09413	1.74815	1.02899	1.0278	3.2241	1.2334	1.1488	1.4349	2.81195	74.544
Z001E0069	0.052843	53.9896	29.1175	0.10952	0.27845	-0.011663	0.070683	1.82519	1.12036	0.7663	3.1165	0.6853	0.7466	1.5166	0.23677	71.1867
Z001E0070	0.04681	47.7614	27.1244	0.13194	0.26719	0.08711	0.15889	1.15839	0.98116	0.6456	2.79002	0.3935	0.5045	-0.1905	0.05278	72.921
Z001E0071	0.0521	52.3795	27.71915	0.16789	0.29568	0.04081	0.12626	1.93359	1.12876	1.2765	3.4341	0.95579	0.87901	2.0744	2.71202	72.898
Z001E0072	0.04662	44.4133	27.0837	0.02983	0.21531	-0.02589	0.05649	1.23619	0.9743	1.0458	2.6937	0.4435	0.4842	-1.3455	-0.85508	71.8574
Z001E0073	0.055837	63.126	28.3177	0.11292	0.24314	-0.0375	0.05032	1.85339	1.080599	0.7382	2.6064	0.9983	0.9622	0.3672	-0.2831	73.5953
Z001E0074	0.04605	43.365	27.0691	0.084534	0.253902	-0.02616	0.05963	1.8018	1.00395	1.0381	2.88047	0.82573	0.77371	-0.7423	0.19769	73.6667
Z001E0075	0.0633	73.0699	30.7014	0.12233	0.24384	-0.02518	0.06281	1.71975	1.10042	0.653	2.2771	0.638	0.6759	1.5901	-1.81247	73.7969
Z001E0076	0.05159	51.971	27.5466	0.07533	0.27583	-0.008845	0.08263	1.48109	1.06555	1.9702	3.9208	1.0896	0.89325	0.1836	3.37583	73.7603
Z001E0077	0.057836	69.4766	26.4514	0.07089	0.28103	-0.03028	0.05549	1.79332	1.15764	0.7775	2.7203	0.7401	0.72045	2.0464	-1.06562	71.4082
Z001E0078	0.053245	60.7188	27.0458	0.13201	0.29103	0.01408	0.1004	1.75543	1.2235	0.7636	2.4326	0.77903	0.75624	2.0183	-0.44932	71.1395
Z001E0079	0.054564	63.276	27.977	0.13345	0.17073	-0.02659	0.05553	1.96159	1.14176	0.754	2.5587	0.96072	0.9187	0.9656	-0.28342	74.1032
Z001E0080	0.04931	49.4319	26.5743	0.09078	0.21573	-0.017438	0.0649	1.6391	1.10543	1.0748	3.5142	0.81282	0.72426	-0.1787	1.09783	74.0877
Z001E0081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.9737
Z001E0082	0.05184	49.5959	27.2217	0.09755	0.253142	0.03082	0.11687	1.80731	1.11779	1.7187	3.9097	1.4179	1.0812	-0.0738	4.38616	72.4925
Z001E0083	0.04717	52.5463	27.9412	0.07437	0.21219	0.00267	0.09237	1.70957	1.06851	0.7233	2.4934	0.9809	0.75348	-0.6722	-0.38952	75.7192
Z001E0085	0.04585	38.1173	28.1435	0.05764	0.27727	-0.00954	0.074452	1.41989	1.12772	2.1689	3.9751	1.2584	1.2037	-2.866	4.55305	74.632
Z001E0086	0.04811	50.757	28.0062	0.02463	0.26661	-0.04239	0.05333	1.38009	1.01375	0.6952	2.7316	0.76906	0.74026	-1.5221	-0.96383	72.8603
Z001E0087	0.053259	62.3882	28.8491	0.07658	0.27785	-0.04729	0.03112	1.41979	1.09725	0.7588	2.80986	0.88224	0.87392	0.7239	-0.39135	74.1809
Z001E0088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.5019
Z001E0089	0.05509	58.3501	27.8898	0.12261	0.23403	-0.02762	0.06009	1.88329	1.0701	0.6612	2.5978	0.83302	0.76315	0.556	-0.69756	73.105
Z001E0090	0.053291	62.412	27.9544	0.07858	0.20981	-0.04837	0.04299	2.64599	1.084075	0.659	2.6598	0.6442	0.7066	0.3387	-1.80741	75.3993
Z001E0091	0.03893	34.3011	26.6219	0.03444	0.1289	-0.04376	0.04362	0.86739	0.868	1.4028	2.6241	0.7287	0.72457	-5.0266	0.27795	74.5735
Z001E0092	0.057844	76.6786	21.6158	0.19708	0.253961	0.00325	0.09112	2.30989	1.12011	0.648	2.6873	0.6811	0.77053	.	.	74.4626
Z001E0093	0.05181	62.1055	27.2008	0.090477	0.32502	0.02363	0.10934	1.96269	1.03587	0.6371	2.5489	0.82905	0.79301	1.2453	-0.61206	72.6268
Z001E0094	0.05077	54.2822	27.63574	0.0047	0.16877	-0.07405	0.01374	0.96589	1.03434	0.83809	3.0623	0.5814	0.6413	-1.1461	-1.20935	73.5321
Z001E0095	0.056572	64.3582	28.5672	0.17815	0.391	0.11031	0.20195	1.18889	1.03644	1.00104	3.4661	0.7613	0.9265	3.2772	2.3447	75.3655
Z001E0096	0.04939	53.3984	27.80827	0.0411	0.259347	-0.02652	0.0612	1.41969	1.06212	1.079	2.91447	0.82603	0.816404	-0.6831	0.41232	72.2689
Z001E0097	0.055664	65.8284	28.5471	0.071	0.23076	-0.04448	0.03421	1.44939	1.0967	0.97832	3.2732	0.4231	0.5271	0.7593	-1.55673	75.1618
Z001E0098	0.05002	55.7081	27.3776	0.04504	0.24463	-0.04042	0.04591	1.55989	1.04539	0.3855	2.4148	0.5005	0.5939	-1.0458	-3.32046	71.462
Z001E0099	0.06499	77.1918	28.5975	0.16083	0.2022	-0.03702	0.04874	2.57369	1.07536	0.5478	2.4999	0.5288	0.7056	2.5091	-2.05751	74.7192
Z001E0100	0.04851	48.4373	26.6578	0.02374	0.4094	-0.03151	0.05626	1.42539	0.948	0.7353	2.341	0.7318	0.84664	-0.6478	-0.25824	73.9714
Z001E0101	0.053535	59.3619	27.2069	0.083589	0.3168	-0.009793	0.0872	1.77612	1.0952	0.83192	2.83425	0.9999	1.0403	-0.2888	0.39874	72.824
Z001E0102	0.052396	55.5916	28.34	0.17083	0.24953	0.01804	0.10951	2.54959	1.07056	0.95322	2.93959	0.5761	0.6327	1.4306	-0.89701	74.8271
Z001E0103	0.05156	55.426	28.8443	0.0962	0.33214	-0.00106	0.08259	1.39609	1.05319	0.937	3.1621	0.92547	0.9237	0.386	0.34769	71.4541
Z001E0104	0.054457	62.4725	28.3417	0.06766	0.31506	-0.02072	0.06169	1.77913	1.10681	0.79	3.1282	0.7252	0.85474	0.1939	-0.59009	72.0808
Z001E0105	0.057173	67.7571	28.2461	0.09903	0.23613	-0.02521	0.05848	1.60299	1.10183	0.88748	3.5277	0.5546	0.6263	0.8825	-1.46575	75.9339
Z001E0106	0.052843	60.2503	26.2338	0.06988	0.20617	-0.04169	0.0406	1.43059	1.07556	0.94759	3.3191	0.89494	1.0112	-0.7956	1.33474	73.1747
Z001E0107	0.057065	65.1268	30.0806	0.10529	0.33671	-0.010865	0.075165	2.60929	1.078064	0.635	2.77854	0.7548	0.7624	2.1593	-0.56859	72.7771
Z001E0108	0.060678	67.971	28.2235	0.03933	0.24397	-0.0311	0.05423	1.75892	1.10305	0.97672	3.3504	0.76757	0.74169	0.5079	0.27119	73.3961
Z001E0109	0.05332	62.8655	27.3386	0.09428	0.3535	-0.04239	0.04543	1.83909	1.0901	0.7188	2.5788	0.572	0.6409	1.2728	-1.53991	74.3624
Z001E0110	0.04655	47.802	27.9789	0.0449	0.29005	-0.01928	0.06522	1.44299	1.04555	0.7274	2.6801	0.7582	0.7348	-1.0814	-0.50551	75.326
Z001E0111	0.05204	50.181	26.6699	0.06719	0.22695	-0.03286	0.0516	1.96759	1.05122	0.781	2.3671	0.7459	0.7073	-0.809	-1.21088	75.0665
Z001E0112	0.04591	52.337	27.3452	0.06726	0.21085	-0.02748	0.06397	1.30609	1.04966	0.80682	2.656	0.79961	0.77643	-0.8749	-0.85016	71.7585
Z001E0113	0.04851	49.6118	27.4601	0.03187	0.19426	-0.00571	0.08204	1.35289	1.03324	1.1508	3.1922	0.89922	0.86554	-1.7534	1.04418	74.1857
Z001E0114	0.059729	70.4189	27.80458	0.17882	0.4114	0.05157	0.13508	2.83269	1.06324	0.6008	2.7139	0.7927	0.73155	4.2194	-0.05252	75.4595
Z001E0115	0.06068	67.3529	28.566	0.10117	0.28984	-0.017674	0.06585	2.11269	1.14905	0.7812	2.4697	0.9561	1.1168	1.7382	0.66098	73.3248
Z001E0116	0.053899	63.8182	27.5567	0.13308	0.26292	0.02281	0.11	2.05339	1.09661	1.2841	3.6307	0.973	0.9827	1.6273	2.44251	75.0473
Z001E0117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.2785
Z001E0118	0.05078	53.3056	27.1832	0.09854	0.17517	-0.03684	0.06362	2.61229	1.02072	0.82763	2.6061	0.78601	0.85809	0.4199	0.2691	74.3125
Z001E0119	0.04399	49.8256	27.0777	0.07103	0.19029	-0.013951	0.08538	1.62309	1.01337	0.7785	2.6223	0.88978	0.82561	-0.6132	0.0211	73.67
Z001E0120	0.05128	64.6455	27.3643	0.086409	0.30904	-0.01852	0.073947	1.49999	1.05331	0.6473	2.288	0.6601	0.6794	0.6264	-1.15001	74.1105
Z001E0121	0.04978	57.0741	26.527	0.0964	0.24705	-0.02089	0.06712	1.87069	1.04298	1.2597	3.6721	0.7516	0.9581	0.6005	1.58076	75.1649
Z001E0122	0.05148	59.6706	26.7521	0.07543	0.2649	0.00251	0.08967	1.70372	1.14314	0.84744	2.80038	0.6847	0.72497	0.7675	-0.67795	74.3088
Z001E0123	0.05078	52.6043	27.5737	0.04588	0.258109	-0.06021	0.03533	2.16319	0.99336	0.6215	2.6391	0.85665	0.76447	-0.7955	-0.80871	75.3767
Z001E0124	0.055137	65.4466	26.5737	0.06888	0.27837	-0.017078	0.06793	1.63522	1.4187	0.7827	2.8042	0.7106	0.7015	1.488	-1.40931	75.8223
Z001E0125	0.04803	51.4661	27.8409	0.04927	0.19932	-0.06455	0.02064	1.35249	1.10519	0.7798	2.76714	0.7498	0.74246	-0.6687	-0.88756	74.053
Z001E0126	0.053054	61.2207	26.6625	0.1263	0.26989	0.05834	0.15419	1.96329	1.11855	0.7413	2.5094	0.7072	0.6931	1.0481	-1.14431	75.3452
Z001E0127	0.0516	56.2296	27.70905	0.10418	0.3648	0.01847	0.104	1.43309	0.98071	0.8501	3.0748	1.0868	1.1928	0.1314	1.77938	74.1177
Z001E0128	0.054376	61.3399	27.67458	0.07545	0.31358	-0.009623	0.07641	1.48699	1.1126	0.6407	2.5595	0.76527	0.73492	0.9475	-0.79298	71.4291
Z001E0129	0.053896	56.2153	27.82541	0.11782	0.260755	-0.003	0.08625	2.02859	1.05228	1.5833	4.31	0.79979	0.82675	1.2984	2.94718	73.415
Z001E0130	0.05126	50.931	27.0851	0.089185	0.257066	-0.017392	0.071838	2.31859	1.06362	1.5313	3.8829	1.123	1.0673	0.5781	3.37814	74.7391
Z001E0131	0.052313	62.0948	27.2015	0.087801	0.25225	-0.02038	0.06747	1.7806	1.13283	0.547	2.5917	0.5405	0.5739	0.3263	-2.09021	72.6231
Z001E0132	0.04779	46.4667	25.8809	0.06296	0.18504	-0.009768	0.078308	1.62763	1.05016	0.84476	2.90135	0.6504	0.6133	-1.1456	-1.50526	77.1368
Z001E0133	0.054166	59.9363	27.5935	0.00032	0.18638	-0.03903	0.04629	1.43529	1.0356	0.7292	3.3891	0.7553	0.75543	-1.6178	-0.34645	73.0252
Z001E0134	0.056886	61.1228	27.5425	0.089703	0.23769	-0.02505	0.06187	1.48699	1.14585	1.0834	3.3398	0.649	0.71693	0.6711	-0.10898	74.0367
Z001E0135	0.053224	61.4372	28.7556	0.081416	0.23929	-0.0376	0.05161	1.72308	1.02898	1.1194	3.3334	0.6954	0.72418	0.5385	0.10393	75.0824
Z001E0136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.647
Z001E0137	0.03736	31.7702	22.7935	0.06324	0.133	-0.03797	0.04705	1.14599	0.8679	0.715	2.2088	0.6495	0.5795	-3.7871	-1.68266	75.3998
Z001E0138	0.058571	68.9738	27.77342	0.17828	0.28892	0.03001	0.11231	2.24719	1.11798	0.6391	2.6894	0.6487	0.685	2.7294	-1.15772	76.0487
Z001E0139	0.04627	52.3783	26.4779	0.06262	0.24384	-0.03853	0.04912	0.70359	1.0447	0.7632	2.6684	0.4901	0.4773	-0.9616	-1.6076	73.1787
Z001E0140	0.08917	66.7208	26.5201	0.12936	0.30433	0.02238	0.11021	1.54249	1.09512	0.84946	2.7121	0.82393	0.84459	3.3867	0.02357	72.3853
Z001E0141	0.058748	75.7039	28.1494	0.086929	0.3731	-0.0197	0.06806	1.60379	1.078073	0.6296	2.706	0.6105	0.6799	1.9997	-1.60662	73.9392
Z001E0143	0.04514	47.9771	28.4446	0.11069	0.25093	0.01589	0.11008	1.06759	1.03643	0.7233	2.6741	0.7023	0.5062	-0.0764	-0.90228	75.4572
Z001E0144	0.0498	47.8288	28.2911	0.06638	0.24777	-0.02479	0.05758	1.62738	1.0453	0.6186	2.423	0.81394	0.87763	-1.065	-0.42388	73.89
Z001E0145	0.05064	45.4225	29.2311	0.07346	0.20173	-0.03194	0.06295	2.25309	1.03577	1.7816	4.2395	1.8751	1.2292	-0.6354	5.98585	76.1458
Z001E0146	0.055663	46.3211	27.74125	0.01582	0.22968	-0.042	0.04596	1.46939	1.01816	0.93778	2.6931	1.1132	0.9319	-1.5881	0.57764	74.8957
Z001E0147	0.053785	66.3935	27.2614	0.07164	0.21391	-0.02583	0.06192	1.82036	1.196	0.7407	2.92754	0.864117	0.87895	0.5413	-0.45694	72.8692
Z001E0148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72.2319
Z001E0149	0.052514	56.5342	27.448	0.07613	0.1952	-0.0206	0.06728	1.52759	1.11469	0.95413	2.6262	0.89325	0.9694	-0.5784	0.58537	71.9302
Z001E0150	0.0441	38.6522	27.67962	-0.01691	0.16432	-0.03765	0.05371	1.44739	1.03092	0.89794	2.3898	0.7639	0.5678	-1.8313	-0.44608	72.8474
Z001E0151	0.052727	57.8768	28.3981	0.02904	0.19192	-0.0396	0.04837	1.79117	1.10301	0.92622	2.706	0.7096	0.75323	-0.3769	-0.60766	74.0185
Z001E0152	0.04282	34.887	26.7873	0.02627	0.0627	-0.05423	0.02924	1.94699	0.99228	0.89843	1.8732	0.7272	0.5704	-3.0622	-1.31524	73.17
Z001E0153	0.056808	65.9903	29.1304	0.19528	0.2736	-0.01692	0.073819	2.94289	1.01604	0.8616	2.9758	0.84559	0.80757	2.8974	0.35443	73.2425
Z001E0154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.2602
Z001E0156	0.04201	40.8915	27.2933	0.01454	0.18229	-0.03903	0.04816	1.34899	1.06562	0.6687	1.9543	0.6765	0.6317	-1.1206	-0.85969	73.7576
Z001E0157	0.053266	48.6046	27.2735	0.06284	0.32398	-0.016755	0.06566	1.39239	1.12464	0.86616	2.9975	0.7042	0.79804	0.43	1.11976	73.5576
Z001E0158	0.04692	43.6352	27.3358	0.01085	0.23274	-0.03987	0.04789	1.04729	1.02436	1.6869	2.5877	1.6718	1.2796	-2.4967	4.4182	74.4353
Z001E0159	0.057625	53.9328	28.0579	0.14353	0.2524	0.02643	0.12185	1.61199	1.07601	0.80921	2.6857	0.83876	0.8931	1.2771	0.94457	74.0327
Z001E0160	0.04844	43.5872	27.1291	0.06979	0.21713	-0.02402	0.0635	1.20369	1.079221	0.6894	2.79372	1.0823	0.78436	-1.7374	0.06243	75.2045
Z001E0161	0.05102	47.7898	27.69805	0.09629	0.28379	0.00354	0.09166	1.90359	1.05767	1.644	3.072	1.3513	1.4045	0.4429	4.58146	76.4134
Z001E0162	0.052522	61.0652	28.3109	0.05835	0.2051	-0.04747	0.03481	2.38539	1.2092	0.7831	2.1537	0.6573	0.6315	0.8361	-1.5809	73.327
Z001E0163	0.053079	58.1757	29.1835	0.04388	0.20093	-0.02872	0.06272	1.72368	1.11942	0.80892	2.6376	0.95686	0.87436	0.5033	-0.20507	72.5438
Z001E0164	0.04606	52.7404	27.2267	0.05679	0.20983	-0.02009	0.074044	1.71153	1.00472	0.7822	2.7164	1.2789	0.9838	-1.5935	0.29251	74.6714
Z001E0165	0.05605	70.095	28.8733	0.11867	0.26787	-0.00087	0.08628	2.03629	1.0652	0.7466	2.712	0.7126	0.74215	1.7799	-0.64814	76.0552
