taxa	Nitrate_Blup	ChlorophyllA_Blup	ChlorophyllB_Blup	Glutamate_Blup	Malate_Blup	Fumarate_Blup	Fum2_Blup	AminoAcids_Blup	Protein_Blup	Starch_Blup	Sucrose_Blup	Glucose_Blup	Fructose_Blup	PrinicpalComponent1	PrincipalComponent2	DaysToAnthesis
Z012E0176	0.058565	63.7212	31.09089	0.08957	0.36261	-0.01257	0.07437	1.9287	0.95777	0.82683	2.88944	0.9774	0.8075	3.2187	1.96671	79.5493
Z012E0177	0.050672	53.9472	28.78769	0.04903	0.18848	-0.01253	0.08176	1.3194	1.10031	0.50951	1.70194	0.80769	0.72028	-0.2728	-1.49553	79.3277
Z012E0178	0.04683	42.2413	27.34069	0.05775	0.19952	-0.019577	0.063736	1.3426	0.99574	0.89451	2.28485	0.91465	0.79285	-0.7531	0.49884	77.5032
Z012E0180	0.04081	35.4671	28.07739	0.00245	0.16486	-0.09774	-0.01571	1.2969	1.00107	0.83571	2.25806	1.2629	0.87509	-3.9473	-0.0717	77.0365
Z012E0181	0.04483	40.9565	27.65799	-0.05889	0.15485	-0.0663	0.01888	1.2432	1.07971	0.83374	2.62434	1.0869	0.77462	-2.1114	0.63416	77.0776
Z012E0182	0.04766	42.3966	29.40379	0.0327	0.20943	-0.06065	0.02613	1.9318	1.047185	0.58491	2.30049	0.9454	0.79779	-0.3031	-0.06506	78.215
Z012E0183	0.04585	50.2617	28.03559	0.04435	0.22133	-0.01671	0.07132	1.2063	1.03402	0.76886	2.40944	0.4682	0.49629	-1.2704	-2.07349	80.0272
Z012E0184	0.053847	63.4465	27.24009	0.16161	0.18377	-0.023125	0.07221	2.6547	1.17307	0.63771	2.64964	0.6936	0.67958	2.8361	-0.44193	75.1247
Z012E0185	0.04542	40.6308	27.13659	0.06392	0.20758	0.03632	0.12296	1.4354	0.98277	0.81182	1.96374	0.79714	0.68291	0.5379	1.24182	79.5932
Z012E0186	0.04495	45.6813	27.58399	-0.01246	0.1958	-0.02849	0.06823	1.51937	1.00733	0.81747	1.99774	0.78933	0.73373	-0.7971	-0.51253	78.9625
Z012E0187	0.04535	39.942	26.77619	0.0471	0.232187	-0.021838	0.06957	1.1708	1.039815	1.09071	2.53904	1.322	0.91919	-1.5975	1.7672	75.2493
Z012E0188	0.050598	52.7084	28.38229	0.06372	0.22207	-0.03033	0.05258	2.0406	1.038176	0.79349	2.37164	1.059	0.92039	-0.2981	0.15083	77.5515
