ID	Hap
B97	1
CML103	2
KI3	2
Ms71	1
N6	1
Oh43	1
W22	1
W64a	1
33-16	1
38-11Goodman-Buckler	2
4226	3
4722	2
A188	1
A214NGoodman-Buckler	1
A239	3
A441-5	1
A554	2
A556	1
A6	1
A619	1
A632	1
A634	1
A635	1
A641	1
A654	1
A659	1
A661	1
A679	3
A680	3
A682	1
Ab28A	1
B10	1
B103	3
B104	2
B105	3
B109	3
B14A	1
B164	1
B2	3
B37	2
B46	1
B52	2
B57	3
B64	1
B68	1
B73	3
B75	1
B76	1
B77	2
B79	1
B84	3
C103	1
C123	1
C49A	3
CH701-30	1
CH9	1
CI187-2	1
CI21E	1
CI28AGoodman-Buckler	1
CI31A	1
CI3A	1
CI64	2
CI66	2
Ci7Goodman-Buckler	1
Ci90CGoodman-Buckler	3
Ci91BGoodman-Buckler	1
CM105	1
CM37	1
CM7	1
CML10	2
CML108	3
CML11	2
CML14	1
CML154Q	2
CML157Q	2
CML158Q	2
CML218	2
CML220	2
CML228	2
CML238	2
CML247	3
CML254	2
CML258	3
CML261	3
CML264	2
CML277	2
CML281	3
CML287	3
CML311	1
CML314	2
CML321	2
CML322	1
CML323	2
CML328	2
CML331	1
CML332	2
CML333	3
CML341	2
CML38	2
CML45	3
CML5	3
CML52	2
CML61	2
CML69	1
CML77	2
CML91	2
CML92	2
CMV3	3
CO106	1
CO125	1
CO255	1
D940Y	1
DE-2	3
DE1	3
DE811	3
E2558W	1
EP1	2
F2834T	1
F6	3
F7	2
GA209	2
GT112	3
H105W	1
H49	2
H84	1
H91	1
H95	2
H99	2
Hi27Goodman-Buckler	2
HP301	2
I137TN	2
i1677a	3
I205	3
I29	1
IA2132Goodman-Buckler	3
Ia5125	2
IDS28	1
IDS69	2
IDS91	2
Il101	1
Il14H	2
ILLHy	1
K148	3
K4	1
K55	1
K64	1
Ki11	2
Ki14	3
Ki2021	3
Ki21	1
Ki43	1
Ki44	2
Ky21	1
KY226	2
KY228	1
L317	1
L578	2
M14	3
M162W	1
M37W	2
MEF156-55-2	3
Mo17	1
Mo18W	2
MO1W	2
Mo24W	2
Mo44	3
Mo45	2
Mo46	3
Mo47	2
MoG	1
Mp339	2
MS1334	1
MS153	1
Mt42	3
N192	3
N28Ht	3
NC222	3
NC230	2
NC232	3
NC236	3
NC238	1
NC250	2
NC258	3
NC260	3
NC262	3
NC264	1
NC290A	3
NC294	3
NC296	2
NC296A	2
NC298	3
NC300	2
NC302	3
NC304	2
NC306	3
NC310	3
NC314	2
NC318	1
NC320	1
NC324	2
NC326	2
NC328	3
NC33	1
NC336	2
NC338	3
NC340	2
NC342	3
NC344	3
NC346	2
NC348	3
NC350	2
NC352	3
NC354	2
NC356	3
NC358	3
NC360	3
NC362	3
NC364	3
NC366	1
NC368	3
ND246	2
Oh40B	1
Oh43E	1
Oh603	3
OH7B	2
Os420	1
P39Goodman-Buckler	3
Pa762	1
Pa875	2
Pa880	3
Pa91	2
R168	1
R177	1
R229	3
R4	3
SA24	2
SC213R	1
SC357	1
SC55	3
SD40	3
SD44	3
Sg1533	1
Sg18	1
T232	2
T234	1
T8	3
Tx303	3
Tx601	2
Tzi10	2
Tzi11	2
Tzi16	2
Tzi18	2
Tzi25	3
Tzi8	3
Tzi9	2
U267Y	2
VA102	3
Va14	3
Va17	3
Va22	3
Va26	1
Va35	3
Va59	3
Va85	1
Va99	2
VaW6	1
W117Ht	3
W153R	1
W182B	1
Wf9	2
Yu796	1
