SampleID	gid	ReadCount	nRC	rCPM	rFPKM	CPM	FPKM	Tissue	Genotype
rn18a_1	Zm00001d014451	7	4.62984299972928	2.5833003655001	0.749217043358497	2.32493662601642	0.674285564389913	GRoot	A556
rn18a_1	Zm00001d014456	6	3.96843685691081	2.21425745614294	0.742541065104943	1.99280282229979	0.66827727105962	GRoot	A556
rn18a_1	Zm00001d014458	17	11.243904427914	6.27372945907167	1.8777998979562	5.64627466318273	1.68999540951294	GRoot	A556
rn18a_10	Zm00001d014451	43	3.05050284591667	1.60880234879157	0.466590008350222	1.71120302457322	0.496288580212652	LMAN	B73
rn18a_10	Zm00001d014456	1052	74.6309068349845	39.3595365332262	13.1990397495728	41.8647809732798	14.0391619628705	LMAN	B73
rn18a_10	Zm00001d014458	1869	132.590460907401	69.926781160266	20.9298955882269	74.377638440171	22.262088727977	LMAN	B73
rn18a_100	Zm00001d014451	2	2.7155155106722	1.33199600933996	0.386309747488386	1.27892119665301	0.370916820375002	GRoot	CI28A
rn18a_100	Zm00001d014456	3	4.07327326600829	1.99799401400993	0.670018113350078	1.91838179497951	0.643320521455235	GRoot	CI28A
rn18a_100	Zm00001d014458	2	2.7155155106722	1.33199600933996	0.398681834582447	1.27892119665301	0.382795928360672	GRoot	CI28A
rn18a_1000	Zm00001d014451	2	2.24572542683046	1.19239893375687	0.345823356658026	1.02704643938389	0.297867296805072	L3Base	SA24
rn18a_1000	Zm00001d014456	3	3.36858814024568	1.78859840063531	0.599798256416938	1.54056965907583	0.516622957436563	L3Base	SA24
rn18a_1000	Zm00001d014458	33	37.0544695427025	19.6745824069884	5.88883041214858	16.9462662498341	5.07221378324877	L3Base	SA24
rn18a_1001	Zm00001d014451	2	1.81578593527163	0.760397581479452	0.220532941264342	0.999009149790037	0.289735832305695	L3Tip	SA24
rn18a_1001	Zm00001d014456	72	65.3682936697789	27.3743129332603	9.17985007822276	35.9643293924413	12.0604726332801	L3Tip	SA24
rn18a_1001	Zm00001d014458	39	35.4078257377969	14.8277528388493	4.43811817984116	19.4806784209057	5.83079270305469	L3Tip	SA24
rn18a_1002	Zm00001d014451	0	0	0	0	0	0	Kern	SA24
rn18a_1002	Zm00001d014456	0	0	0	0	0	0	Kern	SA24
rn18a_1002	Zm00001d014458	5	4.02045011109224	2.18224923555809	0.65317247397728	2.26703612732898	0.678550172801251	Kern	SA24
rn18a_1003	Zm00001d014451	1	0.837424699336415	0.381076212574982	0.11052094332221	0.42911270243871	0.124452639918419	LMAD	SC213R
rn18a_1003	Zm00001d014456	50	41.8712349668208	19.0538106287491	6.38960785672336	21.4556351219355	7.19504866597435	LMAD	SC213R
rn18a_1003	Zm00001d014458	160	133.987951893826	60.972194011997	18.2496839305588	68.6580323901936	20.5501443849727	LMAD	SC213R
rn18a_1004	Zm00001d014451	6	3.94151142797242	2.06193432120607	0.598008793853268	2.08742483622468	0.605401634635928	LMAN	SC213R
rn18a_1004	Zm00001d014456	36	23.6490685678346	12.3716059272364	4.14876120967015	12.5245490173481	4.20004997228306	LMAN	SC213R
rn18a_1004	Zm00001d014458	98	64.3780199902163	33.6782605796991	10.0802934988623	34.0946056583364	10.2049104035727	LMAN	SC213R
rn18a_1005	Zm00001d014451	10	7.29354504837867	3.96893750749137	1.15108396388961	3.63181195729028	1.05330973239277	GShoot	SC213R
rn18a_1005	Zm00001d014456	6	4.3761270290272	2.38136250449482	0.798578975350376	2.17908717437417	0.730746872694221	GShoot	SC213R
rn18a_1005	Zm00001d014458	47	34.2796617273798	18.6540062852094	5.58336015720127	17.0695161992643	5.10910392076154	GShoot	SC213R
rn18a_1006	Zm00001d014451	2	4.35807416678707	1.49959773290815	0.434918135994242	2.07841081328673	0.602787358841859	L3Tip	SC213R
rn18a_1006	Zm00001d014456	5	10.8951854169677	3.74899433227037	1.25720802557692	5.19602703321682	1.74246379383529	L3Tip	SC213R
rn18a_1006	Zm00001d014458	62	135.100299170399	46.4875297201526	13.9142561269538	64.4307352118886	19.2848653732082	L3Tip	SC213R
rn18a_1007	Zm00001d014451	7	7.62390731757105	3.98492559574638	1.15572088043688	3.62808098015291	1.05222766245734	GShoot	Il677a
rn18a_1007	Zm00001d014456	11	11.9804257847545	6.26202593617288	2.09994162849526	5.70127011166886	1.91189473899023	GShoot	Il677a
rn18a_1007	Zm00001d014458	29	31.5847588870801	16.5089774680921	4.94132818560076	15.0306212034906	4.49883903127526	GShoot	Il677a
rn18a_1008	Zm00001d014451	4	3.64840883135129	1.98788286002671	0.576532151979903	1.78542865224856	0.517815734410835	GRoot	Il677a
rn18a_1008	Zm00001d014456	8	7.29681766270258	3.97576572005341	1.33325476862958	3.57085730449711	1.197470591716	GRoot	Il677a
rn18a_1008	Zm00001d014458	27	24.6267596116212	13.4182093051803	4.01622547296626	12.0516434026778	3.6071964689248	GRoot	Il677a
rn18a_1009	Zm00001d014451	4	5.09296652664807	2.04237311501726	0.592335590202222	2.64275479605288	0.76646020767195	L3Tip	Il677a
rn18a_1009	Zm00001d014456	116	147.696029272794	59.2288203355006	19.8621127885649	76.6398890855336	25.7008347033983	L3Tip	Il677a
rn18a_1009	Zm00001d014458	172	218.997560645867	87.8220439457423	26.2861550271602	113.638456230274	34.0133062646734	L3Tip	Il677a
rn18a_101	Zm00001d014451	21	21.2118505302446	11.6339687511599	3.37412086750578	10.1291310595893	2.93768302192266	GShoot	CI21E
rn18a_101	Zm00001d014456	6	6.06052872292703	3.32399107175998	1.11468513472836	2.89403744559695	0.970502161501325	GShoot	CI21E
