B64	B64	12.1723744	0.341909682	254.7403494	5.846815396	5.699282133	69.44439131	24.03657977	2.256871828	1104.398326	0.187619722	40.9371878	1.92173002	0.281950197	0.175502317	16.52692979
B68	B68	14.27070665	0.292095013	285.9455875	5.846815396	6.250811919	75.28265176	26.51573413	2.137990888	996.471383	0.143135261	62.17480745	1.956687927	0.289176849	0.156029214	17.66144005
B73	B73	15.16999191	0.376396761	310.0123724	6.92570814	6.423776882	76.98547772	24.96669974	2.137990888	1135.831151	0.155267387	60.92553571	2.005628997	0.286767965	0.1722568	NA
B73Htrhm	B73Htrhm	11.87261264	0.311254501	306.6325333	NA	5.682964683	73.57982579	22.93861861	2.214913849	1032.517679	0.139091219	51.34778567	NA	0.313265691	NA	28.6283725
B75	B75	11.57285089	0.322750194	317.1799621	7.644969969	5.552425089	85.98612924	23.51557272	2.554074178	1050.004631	0.135047177	56.76129656	2.124485881	0.313265691	0.169011283	NA
B76	B76	14.27070665	0.368732966	306.9530353	6.566077225	6.94593526	76.98547772	26.81295292	2.064564425	1157.794273	0.139091219	47.18354652	2.033595323	0.291585734	0.14953818	19.55229047
B77	B77	14.5704684	0.303590706	NA	NA	5.141225366	80.14786879	21.54693535	2.19393486	1008.130721	0.106738884	40.52076388	NA	0.286767965	0.14953818	NA
B79	B79	12.47213615	0.387892454	256.8964536	NA	5.585059987	74.5528692	24.38974563	2.651976129	1004.228411	0.163355471	42.18645954	1.774906811	0.289176849	0.143047145	15.01424945
B84	B84	12.1723744	0.34574158	291.9477154	5.127553566	5.490418781	66.03873938	22.37565126	2.344284284	945.4540753	0.151223345	48.84924218	1.917068966	NA	0.146292662	21.82131098
B97	B97	15.46975366	0.257607934	227.7307736	5.487184481	5.679701193	64.57917427	21.81268391	2.103025906	1048.553549	0.131003135	41.35361171	1.665372036	0.265088008	0.117083008	17.28326996
B103	B103	19.36665642	0.399388147	305.7001639	6.20644631	5.255447511	77.47199942	19.48738399	2.106522404	900.7019669	0.171443554	NA	2.094189028	0.289176849	0.1722568	NA
B104	B104	12.1723744	0.288263115	270.7654483	5.487184481	6.068056487	72.85004324	24.41771916	1.977151969	1071.072383	0.151223345	NA	1.907746858	0.293994618	0.152783697	20.68680072
